"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13162","external_page_harvard.html","external-html","0","13995","0.0-0.0","A3TXLDTWZKFA38","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2411","","image-button-response","1","16414","0.0-1.0","A3TXLDTWZKFA38","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6701","","image-button-response","2","23135","0.0-2.0-0.0","A3TXLDTWZKFA38","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7015","","survey-text","3","30157","0.0-3.0-0.0","A3TXLDTWZKFA38","","","","{""Q0"":""A3TXLDTWZKFA38""}","","","","","","","","","","","","","","","","","","","","","","",""
"8445","","image-button-response_instructions","4","38608","0.0-4.0","A3TXLDTWZKFA38","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30621","","image-button-response_instructions","5","69235","0.0-5.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12748","","image-button-response_instructions","6","81993","0.0-6.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"37055","","image-button-response_instructions","7","119066","0.0-7.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28341","","image-button-response_instructions","8","147414","0.0-8.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7463","","image-button-response_instructions","9","154882","0.0-9.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5104","","image-button-response_instructions","10","159990","0.0-10.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11194","","image-button-response_instructions","11","171189","0.0-11.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6985","","image-button-response_instructions","12","178182","0.0-12.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14249","","image-button-response_instructions","13","192438","0.0-13.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18389","","image-button-response_instructions","14","210835","0.0-14.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8314","","image-button-response_instructions","15","219159","0.0-15.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9932","","image-button-response_instructions","16","229096","0.0-16.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4192","","image-button-response_instructions","17","233293","0.0-17.0","A3TXLDTWZKFA38","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4641","","image-button-response_instructions","18","237944","0.0-18.0","A3TXLDTWZKFA38","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6845","","survey-text","19","244889","0.0-19.0-0.0","A3TXLDTWZKFA38","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"8442","","survey-text","20","253338","0.0-20.0-0.0","A3TXLDTWZKFA38","","","","{""Q0"":""colourful""}","","","","","","","","","","","","","","","","","","","","","","",""
"4511","","image-slider-response","21","257859","0.0-21.0","A3TXLDTWZKFA38","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"4631","","image-button-response","22","262991","0.0-22.0","A3TXLDTWZKFA38","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4144","","image-button-response","23","267148","0.0-23.0","A3TXLDTWZKFA38","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"29424","","image-button-response","24","296585","0.0-24.0-0.0","A3TXLDTWZKFA38","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2304","","image-button-response","25","305280","0.0-24.1-0.1","A3TXLDTWZKFA38","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1678","","image-button-response","26","306966","0.0-25.0-0.0","A3TXLDTWZKFA38","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","308550","0.0-26.0","A3TXLDTWZKFA38","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","20","colourful","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Erika","I like the sophisticated brushwork,40,100,20","2"
"12908","","survey-text","28","321486","0.0-27.0-0.0","A3TXLDTWZKFA38","","","","{""Q0"":""awesome""}","","","","","","","","","","","","","","","","","","","","","","",""
"5104","","image-slider-response","29","326598","0.0-28.0","A3TXLDTWZKFA38","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","331608","0.0-29.0","A3TXLDTWZKFA38","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3570","","image-button-response","31","335187","0.0-30.0","A3TXLDTWZKFA38","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3407","","image-button-response","32","338603","0.0-31.0-0.0","A3TXLDTWZKFA38","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5233","","image-button-response","33","343851","0.0-32.0-0.0","A3TXLDTWZKFA38","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
