"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6093","external_page_harvard.html","external-html","0","6439","0.0-0.0","A3U01JD1ZRRHPL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2000","","image-button-response","1","8441","0.0-1.0","A3U01JD1ZRRHPL","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2290","","image-button-response","2","10735","0.0-2.0-0.0","A3U01JD1ZRRHPL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"13785","","survey-text","3","24521","0.0-3.0-0.0","A3U01JD1ZRRHPL","","","","{""Q0"":""A3U01JD1ZRRHPL""}","","","","","","","","","","","","","","","","","","","","","","",""
"10195","","image-button-response_instructions","4","34718","0.0-4.0","A3U01JD1ZRRHPL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19199","","image-button-response_instructions","5","53918","0.0-5.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5751","","image-button-response_instructions","6","59669","0.0-6.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10957","","image-button-response_instructions","7","70627","0.0-7.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15711","","image-button-response_instructions","8","86339","0.0-8.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3928","","image-button-response_instructions","9","90267","0.0-9.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3079","","image-button-response_instructions","10","93347","0.0-10.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2323","","image-button-response_instructions","11","95671","0.0-11.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7794","","image-button-response_instructions","12","103465","0.0-12.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9637","","image-button-response_instructions","13","113103","0.0-13.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10793","","image-button-response_instructions","14","123897","0.0-14.0","A3U01JD1ZRRHPL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
