"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"50734","external_page_harvard.html","external-html","0","50812","0.0-0.0","A3UC8KZ5O8FVX9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2164","","image-button-response","1","52980","0.0-1.0","A3UC8KZ5O8FVX9","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2072","","image-button-response","2","55064","0.0-2.0-0.0","A3UC8KZ5O8FVX9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7467","","survey-text","3","62534","0.0-3.0-0.0","A3UC8KZ5O8FVX9","","","","{""Q0"":""A3UC8KZ5O8FVX9""}","","","","","","","","","","","","","","","","","","","","","","",""
"5645","","image-button-response_instructions","4","68183","0.0-4.0","A3UC8KZ5O8FVX9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15524","","image-button-response_instructions","5","83710","0.0-5.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7127","","image-button-response_instructions","6","90839","0.0-6.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7883","","image-button-response_instructions","7","98724","0.0-7.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17189","","image-button-response_instructions","8","115916","0.0-8.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"33083","","image-button-response_instructions","9","149002","0.0-9.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4291","","image-button-response_instructions","10","153295","0.0-10.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2763","","image-button-response_instructions","11","156060","0.0-11.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8547","","image-button-response_instructions","12","164609","0.0-12.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14354","","image-button-response_instructions","13","178966","0.0-13.0","A3UC8KZ5O8FVX9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
