"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"48873","external_page_harvard.html","external-html","0","49389","0.0-0.0","A3UKAY2FGKRMVQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7610","","image-button-response","1","57003","0.0-1.0","A3UKAY2FGKRMVQ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"55693","","image-button-response","2","112710","0.0-2.0-0.0","A3UKAY2FGKRMVQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5969","","survey-text","3","118684","0.0-3.0-0.0","A3UKAY2FGKRMVQ","","","","{""Q0"":""A3UKAY2FGKRMVQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"59131","","image-button-response_instructions","4","177819","0.0-4.0","A3UKAY2FGKRMVQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"110703","","image-button-response_instructions","5","288525","0.0-5.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4567","","image-button-response_instructions","6","293096","0.0-6.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7424","","image-button-response_instructions","7","300524","0.0-7.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3359","","image-button-response_instructions","8","303886","0.0-8.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6521","","image-button-response_instructions","9","310408","0.0-9.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1632","","image-button-response_instructions","10","312052","0.0-10.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4144","","image-button-response_instructions","11","316200","0.0-11.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3227","","image-button-response_instructions","12","319431","0.0-12.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4092","","image-button-response_instructions","13","323525","0.0-13.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3140","","image-button-response_instructions","14","326668","0.0-14.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2857","","image-button-response_instructions","15","329527","0.0-15.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2788","","image-button-response_instructions","16","332319","0.0-16.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3051","","image-button-response_instructions","17","335377","0.0-17.0","A3UKAY2FGKRMVQ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5905","","image-button-response_instructions","18","341287","0.0-18.0","A3UKAY2FGKRMVQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7631","","survey-text","19","348961","0.0-19.0-0.0","A3UKAY2FGKRMVQ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
