"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8514","external_page_harvard.html","external-html","0","8664","0.0-0.0","A3US4NGKXBVI48","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1189","","image-button-response","1","9855","0.0-1.0","A3US4NGKXBVI48","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2131","","image-button-response","2","11990","0.0-2.0-0.0","A3US4NGKXBVI48","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2159","","survey-text","3","14150","0.0-3.0-0.0","A3US4NGKXBVI48","","","","{""Q0"":""A3US4NGKXBVI48""}","","","","","","","","","","","","","","","","","","","","","","",""
"443819","","image-button-response_instructions","4","457971","0.0-4.0","A3US4NGKXBVI48","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17279","","image-button-response_instructions","5","475250","0.0-5.0","A3US4NGKXBVI48","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4583","","image-button-response_instructions","6","479834","0.0-6.0","A3US4NGKXBVI48","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2271","","image-button-response_instructions","7","482106","0.0-7.0","A3US4NGKXBVI48","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"458346","","image-button-response_instructions","8","940453","0.0-8.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7334","","image-button-response_instructions","9","947789","0.0-9.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2494","","image-button-response_instructions","10","950285","0.0-10.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1902","","image-button-response_instructions","11","952189","0.0-11.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7470","","image-button-response_instructions","12","959661","0.0-12.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"96630","","image-button-response_instructions","13","1056293","0.0-13.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8533","","image-button-response_instructions","14","1064828","0.0-14.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4934","","image-button-response_instructions","15","1069764","0.0-15.0","A3US4NGKXBVI48","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4423","","image-button-response_instructions","16","1074188","0.0-16.0","A3US4NGKXBVI48","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7591","","image-button-response_instructions","17","1081780","0.0-17.0","A3US4NGKXBVI48","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2039","","image-button-response_instructions","18","1083820","0.0-18.0","A3US4NGKXBVI48","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6606","","survey-text","19","1090452","0.0-19.0-0.0","A3US4NGKXBVI48","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"41973","","survey-text","20","1132427","0.0-20.0-0.0","A3US4NGKXBVI48","","","","{""Q0"":""The painting looks like a barrier of energy""}","","","","","","","","","","","","","","","","","","","","","","",""
