"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"33606","external_page_harvard.html","external-html","0","33682","0.0-0.0","A4BDXOXC4D8FX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1375","","image-button-response","1","35060","0.0-1.0","A4BDXOXC4D8FX","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1930","","image-button-response","2","36998","0.0-2.0-0.0","A4BDXOXC4D8FX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7729","","survey-text","3","44730","0.0-3.0-0.0","A4BDXOXC4D8FX","","","","{""Q0"":""A4BDXOXC4D8FX""}","","","","","","","","","","","","","","","","","","","","","","",""
"7312","","image-button-response_instructions","4","52045","0.0-4.0","A4BDXOXC4D8FX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16422","","image-button-response_instructions","5","68469","0.0-5.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6596","","image-button-response_instructions","6","75067","0.0-6.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9449","","image-button-response_instructions","7","84519","0.0-7.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22191","","image-button-response_instructions","8","106712","0.0-8.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5225","","image-button-response_instructions","9","111939","0.0-9.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3070","","image-button-response_instructions","10","115010","0.0-10.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2763","","image-button-response_instructions","11","117774","0.0-11.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7497","","image-button-response_instructions","12","125273","0.0-12.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26858","","image-button-response_instructions","13","152133","0.0-13.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19978","","image-button-response_instructions","14","172113","0.0-14.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10258","","image-button-response_instructions","15","182372","0.0-15.0","A4BDXOXC4D8FX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
