"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13137","external_page_harvard.html","external-html","0","13212","0.0-0.0","A5Q2CMQMYG1IK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2017","","image-button-response","1","15231","0.0-1.0","A5Q2CMQMYG1IK","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1188","","image-button-response","2","16425","0.0-2.0-0.0","A5Q2CMQMYG1IK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6720","","survey-text","3","23148","0.0-3.0-0.0","A5Q2CMQMYG1IK","","","","{""Q0"":""A5Q2CMQMYG1IK""}","","","","","","","","","","","","","","","","","","","","","","",""
"4959","","image-button-response_instructions","4","28110","0.0-4.0","A5Q2CMQMYG1IK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17003","","image-button-response_instructions","5","45115","0.0-5.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5761","","image-button-response_instructions","6","50878","0.0-6.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2420","","image-button-response_instructions","7","53300","0.0-7.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4150","","image-button-response_instructions","8","57451","0.0-8.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2120","","image-button-response_instructions","9","59573","0.0-9.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2941","","image-button-response_instructions","10","62515","0.0-10.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5432","","image-button-response_instructions","11","67948","0.0-11.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7251","","image-button-response_instructions","12","75200","0.0-12.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5740","","image-button-response_instructions","13","80941","0.0-13.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3422","","image-button-response_instructions","14","84364","0.0-14.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2601","","image-button-response_instructions","15","86966","0.0-15.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2951","","image-button-response_instructions","16","89918","0.0-16.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2381","","image-button-response_instructions","17","92300","0.0-17.0","A5Q2CMQMYG1IK","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1661","","image-button-response_instructions","18","93962","0.0-18.0","A5Q2CMQMYG1IK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7002","","survey-text","19","100995","0.0-19.0-0.0","A5Q2CMQMYG1IK","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"48093","","survey-text","20","149091","0.0-20.0-0.0","A5Q2CMQMYG1IK","","","","{""Q0"":""A sense of confusion""}","","","","","","","","","","","","","","","","","","","","","","",""
"7050.799999999814","","image-slider-response","21","156145","0.0-21.0","A5Q2CMQMYG1IK","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","161162","0.0-22.0","A5Q2CMQMYG1IK","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
