"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"59730","external_page_harvard.html","external-html","0","60024","0.0-0.0","A5XQ30GQTHHK6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1428","","image-button-response","1","61603","0.0-1.0","A5XQ30GQTHHK6","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1985","","image-button-response","2","63603","0.0-2.0-0.0","A5XQ30GQTHHK6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3208","","survey-text","3","66930","0.0-3.0-0.0","A5XQ30GQTHHK6","","","","{""Q0"":""A5XQ30GQTHHK6""}","","","","","","","","","","","","","","","","","","","","","","",""
"8164","","image-button-response_instructions","4","75100","0.0-4.0","A5XQ30GQTHHK6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12091","","image-button-response_instructions","5","87198","0.0-5.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2656","","image-button-response_instructions","6","89861","0.0-6.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3490","","image-button-response_instructions","7","93371","0.0-7.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15532","","image-button-response_instructions","8","108908","0.0-8.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2619","","image-button-response_instructions","9","111530","0.0-9.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2534","","image-button-response_instructions","10","114068","0.0-10.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2029","","image-button-response_instructions","11","116102","0.0-11.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"33401","","image-button-response_instructions","12","149507","0.0-12.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8239","","image-button-response_instructions","13","157750","0.0-13.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6749","","image-button-response_instructions","14","164502","0.0-14.0","A5XQ30GQTHHK6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
