"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7110","external_page_harvard.html","external-html","0","7167","0.0-0.0","A7I3G380E29VE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1788","","image-button-response","1","8957","0.0-1.0","A7I3G380E29VE","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1836","","image-button-response","2","10796","0.0-2.0-0.0","A7I3G380E29VE","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7543","","survey-text","3","18341","0.0-3.0-0.0","A7I3G380E29VE","","","","{""Q0"":""A7I3G380E29VE""}","","","","","","","","","","","","","","","","","","","","","","",""
"5550","","image-button-response_instructions","4","23892","0.0-4.0","A7I3G380E29VE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12336","","image-button-response_instructions","5","36230","0.0-5.0","A7I3G380E29VE","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4733","","image-button-response_instructions","6","40964","0.0-6.0","A7I3G380E29VE","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7871","","image-button-response_instructions","7","48836","0.0-7.0","A7I3G380E29VE","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25623","","image-button-response_instructions","8","74461","0.0-8.0","A7I3G380E29VE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6255","","image-button-response_instructions","9","80717","0.0-9.0","A7I3G380E29VE","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4335","","image-button-response_instructions","10","85053","0.0-10.0","A7I3G380E29VE","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7031","","image-button-response_instructions","11","92085","0.0-11.0","A7I3G380E29VE","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9143","","image-button-response_instructions","12","101229","0.0-12.0","A7I3G380E29VE","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14351","","image-button-response_instructions","13","115581","0.0-13.0","A7I3G380E29VE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22318","","image-button-response_instructions","14","137900","0.0-14.0","A7I3G380E29VE","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5255","","image-button-response_instructions","15","143156","0.0-15.0","A7I3G380E29VE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11208","","image-button-response_instructions","16","154364","0.0-16.0","A7I3G380E29VE","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7008","","image-button-response_instructions","17","161372","0.0-17.0","A7I3G380E29VE","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3439","","image-button-response_instructions","18","164812","0.0-18.0","A7I3G380E29VE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5209","","survey-text","19","170044","0.0-19.0-0.0","A7I3G380E29VE","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"51351","","survey-text","20","221396","0.0-20.0-0.0","A7I3G380E29VE","","","","{""Q0"":""Looks like a the person just randomly squiggled.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3629.599999964237","","image-slider-response","21","225029","0.0-21.0","A7I3G380E29VE","","","","","-36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","230041","0.0-22.0","A7I3G380E29VE","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"520","","image-button-response","23","230565","0.0-23.0","A7I3G380E29VE","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6598","","image-button-response","24","237164","0.0-24.0-0.0","A7I3G380E29VE","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2654","","image-button-response","25","239820","0.0-25.0-0.0","A7I3G380E29VE","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","240338","0.0-26.0","A7I3G380E29VE","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-36","Looks like a the person just randomly squiggled.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Carl","very calming artwork,42,80,20","Daniel","It looks like a murder scene.,-48,100,20","0"
"27102","","survey-text","27","267452","0.0-27.0-0.0","A7I3G380E29VE","","","","{""Q0"":""I like the deep colors and the texture the shadows give.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3414.400000035763","","image-slider-response","28","270868","0.0-28.0","A7I3G380E29VE","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","275871","0.0-29.0","A7I3G380E29VE","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3113","","image-button-response","30","278988","0.0-30.0","A7I3G380E29VE","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5334","","image-button-response","31","284324","0.0-31.0-0.0","A7I3G380E29VE","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2413","","image-button-response","32","286740","0.0-32.0-0.0","A7I3G380E29VE","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","287251","0.0-33.0","A7I3G380E29VE","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","20","I like the deep colors and the texture the shadows give.","Adam,James,John,Carl,Daniel,Kyle","too much color,-18,20,20","looks too angry,-50,140,20","love the texture of paint,48,160,20","I can feel the artist's passion in it,45,80,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","John","love the texture of paint,48,160,20","Carl","I can feel the artist's passion in it,45,80,20","James","looks too angry,-50,140,20","0"
"23280","","survey-text","34","310540","0.0-34.0-0.0","A7I3G380E29VE","","","","{""Q0"":""I like the icy blue tone, but there's not much too it.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4742.5","","image-slider-response","35","315284","0.0-35.0","A7I3G380E29VE","","","","","9","","","","","","","","","","","","","","","","","","","","","",""
"2494","","image-button-response","36","320293","0.0-36.0","A7I3G380E29VE","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7300","","image-button-response","37","327596","0.0-37.0","A7I3G380E29VE","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1878","","image-button-response","38","329477","0.0-38.0-0.0","A7I3G380E29VE","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
