"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12520","external_page_harvard.html","external-html","0","12641","0.0-0.0","A7OZPNXIVO1FX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"15019","","image-button-response","1","27662","0.0-1.0","A7OZPNXIVO1FX","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2297","","image-button-response","2","29965","0.0-2.0-0.0","A7OZPNXIVO1FX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9740","","survey-text","3","39708","0.0-3.0-0.0","A7OZPNXIVO1FX","","","","{""Q0"":""A7OZPNXIVO1FX""}","","","","","","","","","","","","","","","","","","","","","","",""
"3958","","image-button-response_instructions","4","43669","0.0-4.0","A7OZPNXIVO1FX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"182679","","image-button-response_instructions","5","226350","0.0-5.0","A7OZPNXIVO1FX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1579","","image-button-response_instructions","6","227931","0.0-6.0","A7OZPNXIVO1FX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"961","","image-button-response_instructions","7","228894","0.0-7.0","A7OZPNXIVO1FX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1055","","image-button-response_instructions","8","229951","0.0-8.0","A7OZPNXIVO1FX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3326","","image-button-response_instructions","9","233279","0.0-9.0","A7OZPNXIVO1FX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1279","","image-button-response_instructions","10","234559","0.0-10.0","A7OZPNXIVO1FX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
