"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"25646","external_page_harvard.html","external-html","0","25728","0.0-0.0","A7WJHRZ37HC66","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1348","","image-button-response","1","27078","0.0-1.0","A7WJHRZ37HC66","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1711","","image-button-response","2","28794","0.0-2.0-0.0","A7WJHRZ37HC66","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7930","","survey-text","3","36726","0.0-3.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""A7WJHRZ37HC66""}","","","","","","","","","","","","","","","","","","","","","","",""
"5698","","image-button-response_instructions","4","42426","0.0-4.0","A7WJHRZ37HC66","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14791","","image-button-response_instructions","5","57218","0.0-5.0","A7WJHRZ37HC66","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12643","","image-button-response_instructions","6","69862","0.0-6.0","A7WJHRZ37HC66","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8287","","image-button-response_instructions","7","78150","0.0-7.0","A7WJHRZ37HC66","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10371","","image-button-response_instructions","8","88522","0.0-8.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5059","","image-button-response_instructions","9","93582","0.0-9.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3863","","image-button-response_instructions","10","97446","0.0-10.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6811","","image-button-response_instructions","11","104258","0.0-11.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10175","","image-button-response_instructions","12","114434","0.0-12.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12148","","image-button-response_instructions","13","126582","0.0-13.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18527","","image-button-response_instructions","14","145110","0.0-14.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6767","","image-button-response_instructions","15","151878","0.0-15.0","A7WJHRZ37HC66","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16351","","image-button-response_instructions","16","168230","0.0-16.0","A7WJHRZ37HC66","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6435","","image-button-response_instructions","17","174666","0.0-17.0","A7WJHRZ37HC66","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2443","","image-button-response_instructions","18","177110","0.0-18.0","A7WJHRZ37HC66","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7183","","survey-text","19","184314","0.0-19.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19339","","survey-text","20","203654","0.0-20.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""Looks like a child painted it ""}","","","","","","","","","","","","","","","","","","","","","","",""
"6101.699999988079","","image-slider-response","21","209758","0.0-21.0","A7WJHRZ37HC66","","","","","23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","214771","0.0-22.0","A7WJHRZ37HC66","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4037","","image-button-response","23","218810","0.0-23.0","A7WJHRZ37HC66","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"17246","","image-button-response","24","236058","0.0-24.0-0.0","A7WJHRZ37HC66","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3822","","image-button-response","25","239882","0.0-25.0-0.0","A7WJHRZ37HC66","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","241397","0.0-26.0","A7WJHRZ37HC66","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","23","Looks like a child painted it ","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"11299","","survey-text","27","252702","0.0-27.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""looks a mess""}","","","","","","","","","","","","","","","","","","","","","","",""
"3754.4000000059605","","image-slider-response","28","256458","0.0-28.0","A7WJHRZ37HC66","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","261682","0.0-29.0","A7WJHRZ37HC66","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"101135","","image-button-response","30","362818","0.0-30.0","A7WJHRZ37HC66","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2154","","image-button-response","31","364974","0.0-31.0-0.0","A7WJHRZ37HC66","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2550","","image-button-response","32","367526","0.0-32.0-0.0","A7WJHRZ37HC66","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1147","","image-button-response","33","372819","0.0-32.1-0.1","A7WJHRZ37HC66","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","373320","0.0-33.0","A7WJHRZ37HC66","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-22","looks a mess","Allison,Jenna,Kara,Dora,Erika,Katie","I don't have strong feelings about this,10,20,20","One of my pet peevs,-48,140,20","I like the blocks of color arrangements,30,160,20","looks too angry,-50,80,20","I would never be able to compose a sophisticated pallete like this,48,100,20","too much color!,-28,180,20","Kara","I like the blocks of color arrangements,30,160,20","Allison","I don't have strong feelings about this,10,20,20","Katie","too much color!,-28,180,20","2"
"22763","","survey-text","35","396090","0.0-34.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""love this love the color""}","","","","","","","","","","","","","","","","","","","","","","",""
"5486.399999991059","","image-slider-response","36","401578","0.0-35.0","A7WJHRZ37HC66","","","","","47","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","406583","0.0-36.0","A7WJHRZ37HC66","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2502","","image-button-response","38","409086","0.0-37.0","A7WJHRZ37HC66","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1115","","image-button-response","39","410202","0.0-38.0-0.0","A7WJHRZ37HC66","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3959","","image-button-response","40","414162","0.0-39.0-0.0","A7WJHRZ37HC66","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","414669","0.0-40.0","A7WJHRZ37HC66","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","47","love this love the color","Allison,Rose,Kara,Leslie,Mary,Katie","enjoy the different shades of blue,22,20,20","My daily routine, it's depressing,-20,240,20","calming blue is very nice,36,160,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","It looks depressing,-26,180,20","Allison","enjoy the different shades of blue,22,20,20","Kara","calming blue is very nice,36,160,20","Mary","I like the overlapping of brushes,41,220,20","2"
"6782","","image-button-response_instructions","42","421454","0.0-41.0","A7WJHRZ37HC66","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13683","","survey-likert","43","435139","0.0-42.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5220","","survey-text","44","440362","0.0-43.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"15735","","survey-text","45","456098","0.0-44.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""looks like  a childs art class""}","","","","","","","","","","","","","","","","","","","","","","",""
"3330.7000000029802","","image-slider-response","46","459430","0.0-45.0","A7WJHRZ37HC66","","","","","-36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","47","464462","0.0-46.0","A7WJHRZ37HC66","img_art/9.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2350","","image-button-response","48","466815","0.0-47.0","A7WJHRZ37HC66","img_art/9.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1610","","image-button-response","49","468427","0.0-48.0-0.0","A7WJHRZ37HC66","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2642","","image-button-response","50","471071","0.0-49.0-0.0","A7WJHRZ37HC66","img_art/9.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","472582","0.0-50.0","A7WJHRZ37HC66","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/9.jpg","-36","looks like  a childs art class","Jasmine,Mackenzie,Marissa,Cassandra,Miranda,Crystal","I like abstract art that looks that there is more than random brush strokes. This one looks the former,10,340,20","I enjoy the design, but the colors look waxy,-7,20,20","It makes me think of Snow White sleeping,11,160,20","Stuipid looking...dumb,-48,120,20","It looks like someone gave a kid a coloring book page but the colors are soothing and look put together and elegant,27,320,20","Evokes triumph of a mountain over powering a drowning sea,24,300,20","Cassandra","Stuipid looking...dumb,-48,120,20","Miranda","It looks like someone gave a kid a coloring book page but the colors are soothing and look put together and elegant,27,320,20","Marissa","It makes me think of Snow White sleeping,11,160,20","2"
"20468","","survey-text","52","493053","0.0-51.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""this looks dark and disturbing""}","","","","","","","","","","","","","","","","","","","","","","",""
"2815.0999999940395","","image-slider-response","53","495870","0.0-52.0","A7WJHRZ37HC66","","","","","-42","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","500871","0.0-53.0","A7WJHRZ37HC66","img_art/16.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7022","","image-button-response","55","507894","0.0-54.0","A7WJHRZ37HC66","img_art/16.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1483","","image-button-response","56","509378","0.0-55.0-0.0","A7WJHRZ37HC66","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1922","","image-button-response","57","511302","0.0-56.0-0.0","A7WJHRZ37HC66","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","511819","0.0-57.0","A7WJHRZ37HC66","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/16.jpg","-42","this looks dark and disturbing","Hannah,Sophia,Marissa,Cassandra,Miranda,Emma","This is weird and a little creepy.,6,240,20","This feels like there's some kind of pedofile thing going on here.,-50,280,20","I do not like this dark and twisted portrayal of childhood,-42,160,20","I like the teddy bear,but a neutral feeling,5,120,20","This looks like it was made by an art student filled with angst,-30,320,20","Kind of creepyyyyyy,-41,60,20","Sophia","This feels like there's some kind of pedofile thing going on here.,-50,280,20","Marissa","I do not like this dark and twisted portrayal of childhood,-42,160,20","Hannah","This is weird and a little creepy.,6,240,20","2"
"15140","","survey-text","59","526962","0.0-58.0-0.0","A7WJHRZ37HC66","","","","{""Q0"":""weird I don't get it""}","","","","","","","","","","","","","","","","","","","","","","",""
"2170.5999999940395","","image-slider-response","60","529134","0.0-59.0","A7WJHRZ37HC66","","","","","-41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","61","534152","0.0-60.0","A7WJHRZ37HC66","img_art/27.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4929","","image-button-response","62","539083","0.0-61.0","A7WJHRZ37HC66","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"510","","image-button-response","63","539595","0.0-62.0-0.0","A7WJHRZ37HC66","img_art/27.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3654","","image-button-response","64","543251","0.0-63.0-0.0","A7WJHRZ37HC66","img_art/27.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
