"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8689","external_page_harvard.html","external-html","0","8806","0.0-0.0","A85NRZR9RYCUS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1332","","image-button-response","1","10142","0.0-1.0","A85NRZR9RYCUS","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1846","","image-button-response","2","12007","0.0-2.0-0.0","A85NRZR9RYCUS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6185","","survey-text","3","18195","0.0-3.0-0.0","A85NRZR9RYCUS","","","","{""Q0"":""A85NRZR9RYCUS""}","","","","","","","","","","","","","","","","","","","","","","",""
"29852","","image-button-response_instructions","4","48049","0.0-4.0","A85NRZR9RYCUS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7934","","image-button-response_instructions","5","55987","0.0-5.0","A85NRZR9RYCUS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3799","","image-button-response_instructions","6","59793","0.0-6.0","A85NRZR9RYCUS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4793","","image-button-response_instructions","7","64590","0.0-7.0","A85NRZR9RYCUS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9094","","image-button-response_instructions","8","73689","0.0-8.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3435","","image-button-response_instructions","9","77130","0.0-9.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3638","","image-button-response_instructions","10","80774","0.0-10.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3299","","image-button-response_instructions","11","84078","0.0-11.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3961","","image-button-response_instructions","12","88046","0.0-12.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6963","","image-button-response_instructions","13","95010","0.0-13.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5449","","image-button-response_instructions","14","100464","0.0-14.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3170","","image-button-response_instructions","15","103636","0.0-15.0","A85NRZR9RYCUS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6284","","image-button-response_instructions","16","109926","0.0-16.0","A85NRZR9RYCUS","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1975","","image-button-response_instructions","17","111906","0.0-17.0","A85NRZR9RYCUS","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1328","","image-button-response_instructions","18","113236","0.0-18.0","A85NRZR9RYCUS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5425","","survey-text","19","118710","0.0-19.0-0.0","A85NRZR9RYCUS","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16328","","survey-text","20","135041","0.0-20.0-0.0","A85NRZR9RYCUS","","","","{""Q0"":""It's kind of cool. Looks like an irradescent ocean""}","","","","","","","","","","","","","","","","","","","","","","",""
