"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4801","external_page_harvard.html","external-html","0","4894","0.0-0.0","A88CZ5CYKL5BJ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3982","","image-button-response","1","8876","0.0-1.0","A88CZ5CYKL5BJ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2861","","image-button-response","2","11740","0.0-2.0-0.0","A88CZ5CYKL5BJ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6174","","survey-text","3","17916","0.0-3.0-0.0","A88CZ5CYKL5BJ","","","","{""Q0"":""A88CZ5CYKL5BJ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3320","","image-button-response_instructions","4","21237","0.0-4.0","A88CZ5CYKL5BJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8502","","image-button-response_instructions","5","29740","0.0-5.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2150","","image-button-response_instructions","6","31892","0.0-6.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"74835","","image-button-response_instructions","7","106732","0.0-7.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3767","","image-button-response_instructions","8","110500","0.0-8.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2359","","image-button-response_instructions","9","112860","0.0-9.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2327","","image-button-response_instructions","10","115188","0.0-10.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1487","","image-button-response_instructions","11","116677","0.0-11.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4571","","image-button-response_instructions","12","121248","0.0-12.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9363","","image-button-response_instructions","13","130612","0.0-13.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2975","","image-button-response_instructions","14","133588","0.0-14.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2408","","image-button-response_instructions","15","135996","0.0-15.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6495","","image-button-response_instructions","16","142493","0.0-16.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2503","","image-button-response_instructions","17","144996","0.0-17.0","A88CZ5CYKL5BJ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"751","","image-button-response_instructions","18","145748","0.0-18.0","A88CZ5CYKL5BJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4801","","survey-text","19","150564","0.0-19.0-0.0","A88CZ5CYKL5BJ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"7599","","survey-text","20","158164","0.0-20.0-0.0","A88CZ5CYKL5BJ","","","","{""Q0"":""It has some nice colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"3631","","image-slider-response","21","161796","0.0-21.0","A88CZ5CYKL5BJ","","","","","-9","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","166812","0.0-22.0","A88CZ5CYKL5BJ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3544","","image-button-response","23","170356","0.0-23.0","A88CZ5CYKL5BJ","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4071","","image-button-response","24","174428","0.0-24.0-0.0","A88CZ5CYKL5BJ","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1087","","image-button-response","25","175516","0.0-25.0-0.0","A88CZ5CYKL5BJ","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","177018","0.0-26.0","A88CZ5CYKL5BJ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-9","It has some nice colors","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","0"
"16927","","survey-text","27","193949","0.0-27.0-0.0","A88CZ5CYKL5BJ","","","","{""Q0"":""Very blocky, maybe like houses""}","","","","","","","","","","","","","","","","","","","","","","",""
