"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"14434","external_page_harvard.html","external-html","0","14486","0.0-0.0","A8TOXZCLDP72G","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2507","","image-button-response","1","16996","0.0-1.0","A8TOXZCLDP72G","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5383","","image-button-response","2","22386","0.0-2.0-0.0","A8TOXZCLDP72G","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6892","","survey-text","3","29280","0.0-3.0-0.0","A8TOXZCLDP72G","","","","{""Q0"":""A8TOXZCLDP72G""}","","","","","","","","","","","","","","","","","","","","","","",""
"13947","","image-button-response_instructions","4","43229","0.0-4.0","A8TOXZCLDP72G","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24594","","image-button-response_instructions","5","67825","0.0-5.0","A8TOXZCLDP72G","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8231","","image-button-response_instructions","6","76058","0.0-6.0","A8TOXZCLDP72G","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9241","","image-button-response_instructions","7","85300","0.0-7.0","A8TOXZCLDP72G","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23125","","image-button-response_instructions","8","108427","0.0-8.0","A8TOXZCLDP72G","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4910","","image-button-response_instructions","9","113339","0.0-9.0","A8TOXZCLDP72G","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5604","","image-button-response_instructions","10","118945","0.0-10.0","A8TOXZCLDP72G","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3686","","image-button-response_instructions","11","122632","0.0-11.0","A8TOXZCLDP72G","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11060","","image-button-response_instructions","12","133693","0.0-12.0","A8TOXZCLDP72G","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
