"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"31776","external_page_harvard.html","external-html","0","32007","0.0-0.0","A9YFEPJW62N8U","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4137","","image-button-response","1","36150","0.0-1.0","A9YFEPJW62N8U","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3280","","image-button-response","2","39445","0.0-2.0-0.0","A9YFEPJW62N8U","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"17422","","survey-text","3","56872","0.0-3.0-0.0","A9YFEPJW62N8U","","","","{""Q0"":""A9YFEPJW62N8U""}","","","","","","","","","","","","","","","","","","","","","","",""
"12528","","image-button-response_instructions","4","69404","0.0-4.0","A9YFEPJW62N8U","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"98940","","image-button-response_instructions","5","168348","0.0-5.0","A9YFEPJW62N8U","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27568","","image-button-response_instructions","6","195921","0.0-6.0","A9YFEPJW62N8U","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13119","","image-button-response_instructions","7","209045","0.0-7.0","A9YFEPJW62N8U","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16398","","image-button-response_instructions","8","225446","0.0-8.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13643","","image-button-response_instructions","9","239094","0.0-9.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8885","","image-button-response_instructions","10","247982","0.0-10.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7197","","image-button-response_instructions","11","255182","0.0-11.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19797","","image-button-response_instructions","12","274983","0.0-12.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22670","","image-button-response_instructions","13","297655","0.0-13.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27669","","image-button-response_instructions","14","325327","0.0-14.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4409","","image-button-response_instructions","15","329738","0.0-15.0","A9YFEPJW62N8U","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16380","","image-button-response_instructions","16","346121","0.0-16.0","A9YFEPJW62N8U","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8299","","image-button-response_instructions","17","354422","0.0-17.0","A9YFEPJW62N8U","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3745","","image-button-response_instructions","18","358169","0.0-18.0","A9YFEPJW62N8U","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23968","","survey-text","19","382194","0.0-19.0-0.0","A9YFEPJW62N8U","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"36290","","survey-text","20","418486","0.0-20.0-0.0","A9YFEPJW62N8U","","","","{""Q0"":""seems like a lot of confusion""}","","","","","","","","","","","","","","","","","","","","","","",""
"5636","","image-slider-response","21","424132","0.0-21.0","A9YFEPJW62N8U","","","","","-13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","429152","0.0-22.0","A9YFEPJW62N8U","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5723","","image-button-response","23","434876","0.0-23.0","A9YFEPJW62N8U","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"9610","","image-button-response","24","444489","0.0-24.0-0.0","A9YFEPJW62N8U","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5098","","image-button-response","25","449594","0.0-25.0-0.0","A9YFEPJW62N8U","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4271","","image-button-response","26","459855","0.0-25.1-0.1","A9YFEPJW62N8U","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","460367","0.0-26.0","A9YFEPJW62N8U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-13","seems like a lot of confusion","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","2"
"33612","","survey-text","28","493991","0.0-27.0-0.0","A9YFEPJW62N8U","","","","{""Q0"":""looks like an escape tunnel""}","","","","","","","","","","","","","","","","","","","","","","",""
"6797","","image-slider-response","29","500792","0.0-28.0","A9YFEPJW62N8U","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","30","505804","0.0-29.0","A9YFEPJW62N8U","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6818","","image-button-response","31","512624","0.0-30.0","A9YFEPJW62N8U","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3322","","image-button-response","32","515950","0.0-31.0-0.0","A9YFEPJW62N8U","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3292","","image-button-response","33","519246","0.0-32.0-0.0","A9YFEPJW62N8U","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","520263","0.0-33.0","A9YFEPJW62N8U","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","11","looks like an escape tunnel","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Daniel","One of my pet peevs,-48,100,20","John","love the texture of paint,48,160,20","Adam","too much color,-18,20,20","2"
"20287","","survey-text","35","540559","0.0-34.0-0.0","A9YFEPJW62N8U","","","","{""Q0"":""seems like an ice storm""}","","","","","","","","","","","","","","","","","","","","","","",""
"5845","","image-slider-response","36","546408","0.0-35.0","A9YFEPJW62N8U","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","37","551414","0.0-36.0","A9YFEPJW62N8U","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
