"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4426","external_page_harvard.html","external-html","0","4539","0.0-0.0","AA1IM0SAQ3XFM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1256","","image-button-response","1","5796","0.0-1.0","AA1IM0SAQ3XFM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1698","","image-button-response","2","7500","0.0-2.0-0.0","AA1IM0SAQ3XFM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"16062","","survey-text","3","23563","0.0-3.0-0.0","AA1IM0SAQ3XFM","","","","{""Q0"":""AA1IM0SAQ3XFM""}","","","","","","","","","","","","","","","","","","","","","","",""
"2935","","image-button-response_instructions","4","26500","0.0-4.0","AA1IM0SAQ3XFM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5031","","image-button-response_instructions","5","31533","0.0-5.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3107","","image-button-response_instructions","6","34641","0.0-6.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3986","","image-button-response_instructions","7","38629","0.0-7.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3509","","image-button-response_instructions","8","42138","0.0-8.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2933","","image-button-response_instructions","9","45073","0.0-9.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2080","","image-button-response_instructions","10","47155","0.0-10.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2549","","image-button-response_instructions","11","49704","0.0-11.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5096","","image-button-response_instructions","12","54802","0.0-12.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8388","","image-button-response_instructions","13","63190","0.0-13.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6012","","image-button-response_instructions","14","69204","0.0-14.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"59231","","image-button-response_instructions","15","128436","0.0-15.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6171","","image-button-response_instructions","16","134608","0.0-16.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2032","","image-button-response_instructions","17","136640","0.0-17.0","AA1IM0SAQ3XFM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1216","","image-button-response_instructions","18","137857","0.0-18.0","AA1IM0SAQ3XFM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10414","","survey-text","19","148298","0.0-19.0-0.0","AA1IM0SAQ3XFM","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13578","","survey-text","20","161878","0.0-20.0-0.0","AA1IM0SAQ3XFM","","","","{""Q0"":""lovely""}","","","","","","","","","","","","","","","","","","","","","","",""
"4371.5","","image-slider-response","21","166253","0.0-21.0","AA1IM0SAQ3XFM","","","","","38","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","171262","0.0-22.0","AA1IM0SAQ3XFM","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"520","","image-button-response","23","171785","0.0-23.0","AA1IM0SAQ3XFM","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4501","","image-button-response","24","176289","0.0-24.0-0.0","AA1IM0SAQ3XFM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7763","","image-button-response","25","184055","0.0-25.0-0.0","AA1IM0SAQ3XFM","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","185562","0.0-26.0","AA1IM0SAQ3XFM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","38","lovely","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"11355","","survey-text","27","196922","0.0-27.0-0.0","AA1IM0SAQ3XFM","","","","{""Q0"":""dark""}","","","","","","","","","","","","","","","","","","","","","","",""
"15370","","survey-text","28","214734","0.0-27.1-0.1","AA1IM0SAQ3XFM","","","","{""Q0"":""This is dark and gloomy""}","","","","","","","","","","","","","","","","","","","","","","",""
"4268.200000017881","","image-slider-response","29","219004","0.0-28.0","AA1IM0SAQ3XFM","","","","","-34","","","","","","","","","","","","","","","","","","","","","",""
"4107","","image-button-response","30","224008","0.0-29.0","AA1IM0SAQ3XFM","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"412","","image-button-response","31","224423","0.0-30.0","AA1IM0SAQ3XFM","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4668","","image-button-response","32","229093","0.0-31.0-0.0","AA1IM0SAQ3XFM","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1437","","image-button-response","33","230533","0.0-32.0-0.0","AA1IM0SAQ3XFM","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","231036","0.0-33.0","AA1IM0SAQ3XFM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-34","This is dark and gloomy","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Jenna","One of my pet peevs,-48,140,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","0"
"15611","","survey-text","35","246651","0.0-34.0-0.0","AA1IM0SAQ3XFM","","","","{""Q0"":""Cold and unfeeling piece of art""}","","","","","","","","","","","","","","","","","","","","","","",""
"4954.0999999940395","","image-slider-response","36","251608","0.0-35.0","AA1IM0SAQ3XFM","","","","","-48","","","","","","","","","","","","","","","","","","","","","",""
"3696","","image-button-response","37","256615","0.0-36.0","AA1IM0SAQ3XFM","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1016","","image-button-response","38","257633","0.0-37.0","AA1IM0SAQ3XFM","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2874","","image-button-response","39","260509","0.0-38.0-0.0","AA1IM0SAQ3XFM","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
