"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11468","external_page_harvard.html","external-html","0","11738","0.0-0.0","AAKBYJD64R6K","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1933","","image-button-response","1","13677","0.0-1.0","AAKBYJD64R6K","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2309","","image-button-response","2","16006","0.0-2.0-0.0","AAKBYJD64R6K","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8006","","survey-text","3","24017","0.0-3.0-0.0","AAKBYJD64R6K","","","","{""Q0"":""AAKBYJD64R6K""}","","","","","","","","","","","","","","","","","","","","","","",""
"4377","","image-button-response_instructions","4","28400","0.0-4.0","AAKBYJD64R6K","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26651","","image-button-response_instructions","5","55056","0.0-5.0","AAKBYJD64R6K","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2954","","image-button-response_instructions","6","58013","0.0-6.0","AAKBYJD64R6K","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5592","","image-button-response_instructions","7","63610","0.0-7.0","AAKBYJD64R6K","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5666","","image-button-response_instructions","8","69280","0.0-8.0","AAKBYJD64R6K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6714","","image-button-response_instructions","9","75998","0.0-9.0","AAKBYJD64R6K","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4245","","image-button-response_instructions","10","80246","0.0-10.0","AAKBYJD64R6K","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7371","","image-button-response_instructions","11","87620","0.0-11.0","AAKBYJD64R6K","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5247","","image-button-response_instructions","12","92871","0.0-12.0","AAKBYJD64R6K","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13881","","image-button-response_instructions","13","106756","0.0-13.0","AAKBYJD64R6K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11652","","image-button-response_instructions","14","118412","0.0-14.0","AAKBYJD64R6K","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7524","","image-button-response_instructions","15","125940","0.0-15.0","AAKBYJD64R6K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
