"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"156438","external_page_harvard.html","external-html","0","156704","0.0-0.0","AB0LYB4PZKY9K","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4032","","image-button-response","1","160737","0.0-1.0","AB0LYB4PZKY9K","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3335","","image-button-response","2","164079","0.0-2.0-0.0","AB0LYB4PZKY9K","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"23415","","survey-text","3","187495","0.0-3.0-0.0","AB0LYB4PZKY9K","","","","{""Q0"":""AB0LYB4PZKY9K""}","","","","","","","","","","","","","","","","","","","","","","",""
"9291","","image-button-response_instructions","4","196789","0.0-4.0","AB0LYB4PZKY9K","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29152","","image-button-response_instructions","5","225943","0.0-5.0","AB0LYB4PZKY9K","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13947","","image-button-response_instructions","6","239892","0.0-6.0","AB0LYB4PZKY9K","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25241","","image-button-response_instructions","7","265133","0.0-7.0","AB0LYB4PZKY9K","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15986","","image-button-response_instructions","8","281121","0.0-8.0","AB0LYB4PZKY9K","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7504","","image-button-response_instructions","9","288627","0.0-9.0","AB0LYB4PZKY9K","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12912","","image-button-response_instructions","10","301541","0.0-10.0","AB0LYB4PZKY9K","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5197","","image-button-response_instructions","11","306738","0.0-11.0","AB0LYB4PZKY9K","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
