"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"10698","external_page_harvard.html","external-html","0","10815","0.0-0.0","ABXL9SD1N6ZQZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2059","","image-button-response","1","12876","0.0-1.0","ABXL9SD1N6ZQZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1611","","image-button-response","2","14491","0.0-2.0-0.0","ABXL9SD1N6ZQZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9141","","survey-text","3","23634","0.0-3.0-0.0","ABXL9SD1N6ZQZ","","","","{""Q0"":""ABXL9SD1N6ZQZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"6307","","image-button-response_instructions","4","29944","0.0-4.0","ABXL9SD1N6ZQZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28429","","image-button-response_instructions","5","58375","0.0-5.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10169","","image-button-response_instructions","6","68546","0.0-6.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5182","","image-button-response_instructions","7","73730","0.0-7.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7089","","image-button-response_instructions","8","80821","0.0-8.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5993","","image-button-response_instructions","9","86816","0.0-9.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1904","","image-button-response_instructions","10","88721","0.0-10.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1589","","image-button-response_instructions","11","90311","0.0-11.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1993","","image-button-response_instructions","12","92306","0.0-12.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11968","","image-button-response_instructions","13","104276","0.0-13.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16574","","image-button-response_instructions","14","120852","0.0-14.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4394","","image-button-response_instructions","15","125249","0.0-15.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10231","","image-button-response_instructions","16","135482","0.0-16.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1619","","image-button-response_instructions","17","137102","0.0-17.0","ABXL9SD1N6ZQZ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1530","","image-button-response_instructions","18","138634","0.0-18.0","ABXL9SD1N6ZQZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12866","","survey-text","19","151527","0.0-19.0-0.0","ABXL9SD1N6ZQZ","","","","{""Q0"":""but ""}","","","","","","","","","","","","","","","","","","","","","","",""
"5904","","survey-text","20","161828","0.0-19.1-0.1","ABXL9SD1N6ZQZ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"9541","","survey-text","21","171370","0.0-20.0-0.0","ABXL9SD1N6ZQZ","","","","{""Q0"":""peaceful flowers""}","","","","","","","","","","","","","","","","","","","","","","",""
"4738.700000047684","","image-slider-response","22","176113","0.0-21.0","ABXL9SD1N6ZQZ","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","23","181121","0.0-22.0","ABXL9SD1N6ZQZ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
