"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"36764","external_page_harvard.html","external-html","0","36883","0.0-0.0","AEGW8HAGURDRY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2044","","image-button-response","1","38931","0.0-1.0","AEGW8HAGURDRY","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3103","","image-button-response","2","42042","0.0-2.0-0.0","AEGW8HAGURDRY","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9450","","survey-text","3","51495","0.0-3.0-0.0","AEGW8HAGURDRY","","","","{""Q0"":""AEGW8HAGURDRY""}","","","","","","","","","","","","","","","","","","","","","","",""
"8725","","image-button-response_instructions","4","60224","0.0-4.0","AEGW8HAGURDRY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34287","","image-button-response_instructions","5","94513","0.0-5.0","AEGW8HAGURDRY","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10957","","image-button-response_instructions","6","105472","0.0-6.0","AEGW8HAGURDRY","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9303","","image-button-response_instructions","7","114776","0.0-7.0","AEGW8HAGURDRY","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16248","","image-button-response_instructions","8","131027","0.0-8.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9870","","image-button-response_instructions","9","140899","0.0-9.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6557","","image-button-response_instructions","10","147458","0.0-10.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4328","","image-button-response_instructions","11","151787","0.0-11.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11967","","image-button-response_instructions","12","163756","0.0-12.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16962","","image-button-response_instructions","13","180720","0.0-13.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14032","","image-button-response_instructions","14","194754","0.0-14.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6379","","image-button-response_instructions","15","201135","0.0-15.0","AEGW8HAGURDRY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16190","","image-button-response_instructions","16","217325","0.0-16.0","AEGW8HAGURDRY","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8260","","image-button-response_instructions","17","225586","0.0-17.0","AEGW8HAGURDRY","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3868","","image-button-response_instructions","18","229456","0.0-18.0","AEGW8HAGURDRY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9050","","survey-text","19","238568","0.0-19.0-0.0","AEGW8HAGURDRY","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"59037","","survey-text","20","297608","0.0-20.0-0.0","AEGW8HAGURDRY","","","","{""Q0"":""It looks like how I feel most mornings.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6485.10000038147","","image-slider-response","21","304097","0.0-21.0","AEGW8HAGURDRY","","","","","-46","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","309106","0.0-22.0","AEGW8HAGURDRY","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"21444","","image-button-response","23","330554","0.0-23.0","AEGW8HAGURDRY","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1735","","image-button-response","24","332294","0.0-24.0-0.0","AEGW8HAGURDRY","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3777","","image-button-response","25","336075","0.0-25.0-0.0","AEGW8HAGURDRY","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","337081","0.0-26.0","AEGW8HAGURDRY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-46","It looks like how I feel most mornings.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","0"
"58860","","survey-text","27","395948","0.0-27.0-0.0","AEGW8HAGURDRY","","","","{""Q0"":""The red hurts my eyes.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4785.199999809265","","image-slider-response","28","400736","0.0-28.0","AEGW8HAGURDRY","","","","","-48","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","405743","0.0-29.0","AEGW8HAGURDRY","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3282","","image-button-response","30","409029","0.0-30.0","AEGW8HAGURDRY","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4946","","image-button-response","31","413979","0.0-31.0-0.0","AEGW8HAGURDRY","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6596","","image-button-response","32","420578","0.0-32.0-0.0","AEGW8HAGURDRY","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4269","","image-button-response","33","429117","0.0-32.1-0.1","AEGW8HAGURDRY","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
