"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"15997","external_page_harvard.html","external-html","0","16230","0.0-0.0","AF3G89Q97D0DR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1694","","image-button-response","1","17926","0.0-1.0","AF3G89Q97D0DR","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2357","","image-button-response","2","20286","0.0-2.0-0.0","AF3G89Q97D0DR","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5151","","survey-text","3","25439","0.0-3.0-0.0","AF3G89Q97D0DR","","","","{""Q0"":""AF3G89Q97D0DR""}","","","","","","","","","","","","","","","","","","","","","","",""
"53438","","image-button-response_instructions","4","78878","0.0-4.0","AF3G89Q97D0DR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14658","","image-button-response_instructions","5","93536","0.0-5.0","AF3G89Q97D0DR","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7664","","image-button-response_instructions","6","101201","0.0-6.0","AF3G89Q97D0DR","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9984","","image-button-response_instructions","7","111187","0.0-7.0","AF3G89Q97D0DR","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30619","","image-button-response_instructions","8","141807","0.0-8.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2720","","image-button-response_instructions","9","144527","0.0-9.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3737","","image-button-response_instructions","10","148264","0.0-10.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2960","","image-button-response_instructions","11","151225","0.0-11.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"115527","","image-button-response_instructions","12","266752","0.0-12.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29683","","image-button-response_instructions","13","296436","0.0-13.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11649","","image-button-response_instructions","14","308086","0.0-14.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5959","","image-button-response_instructions","15","314046","0.0-15.0","AF3G89Q97D0DR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16539","","image-button-response_instructions","16","330586","0.0-16.0","AF3G89Q97D0DR","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8241","","image-button-response_instructions","17","338827","0.0-17.0","AF3G89Q97D0DR","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1951","","image-button-response_instructions","18","340779","0.0-18.0","AF3G89Q97D0DR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7076","","survey-text","19","347868","0.0-19.0-0.0","AF3G89Q97D0DR","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"97932","","survey-text","20","445801","0.0-20.0-0.0","AF3G89Q97D0DR","","","","{""Q0"":""It looks to me like a reddish field and yellowy sky with some trees off to the left at the edge of the field, obscured by fog or smoke.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9607.700000047684","","image-slider-response","21","455410","0.0-21.0","AF3G89Q97D0DR","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","460413","0.0-22.0","AF3G89Q97D0DR","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3229","","image-button-response","23","463645","0.0-23.0","AF3G89Q97D0DR","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2399","","image-button-response","24","466045","0.0-24.0-0.0","AF3G89Q97D0DR","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6631","","image-button-response","25","472677","0.0-25.0-0.0","AF3G89Q97D0DR","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","474179","0.0-26.0","AF3G89Q97D0DR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","10","It looks to me like a reddish field and yellowy sky with some trees off to the left at the edge of the field, obscured by fog or smoke.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"60080","","survey-text","27","534263","0.0-27.0-0.0","AF3G89Q97D0DR","","","","{""Q0"":""I can't tell what it's supposed to represent but the bold red is really striking. It's almost like the suggestion of a really eye-catching painting rather than an actual painting, but I don't mean that in a bad way.""}","","","","","","","","","","","","","","","","","","","","","","",""
"12480","","image-slider-response","28","546744","0.0-28.0","AF3G89Q97D0DR","","","","","15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","551747","0.0-29.0","AF3G89Q97D0DR","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4566","","image-button-response","30","556314","0.0-30.0","AF3G89Q97D0DR","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"16993","","image-button-response","31","573309","0.0-31.0-0.0","AF3G89Q97D0DR","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"710","","image-button-response","32","574021","0.0-32.0-0.0","AF3G89Q97D0DR","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
