"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"32000","external_page_harvard.html","external-html","0","32112","0.0-0.0","AFH2OHPQSO6SS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2243","","image-button-response","1","34357","0.0-1.0","AFH2OHPQSO6SS","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4572","","image-button-response","2","38936","0.0-2.0-0.0","AFH2OHPQSO6SS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8875","","survey-text","3","47815","0.0-3.0-0.0","AFH2OHPQSO6SS","","","","{""Q0"":""AFH2OHPQSO6SS""}","","","","","","","","","","","","","","","","","","","","","","",""
"5777","","image-button-response_instructions","4","53597","0.0-4.0","AFH2OHPQSO6SS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14469","","image-button-response_instructions","5","68068","0.0-5.0","AFH2OHPQSO6SS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7941","","image-button-response_instructions","6","76012","0.0-6.0","AFH2OHPQSO6SS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7602","","image-button-response_instructions","7","83615","0.0-7.0","AFH2OHPQSO6SS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21847","","image-button-response_instructions","8","105465","0.0-8.0","AFH2OHPQSO6SS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4742","","image-button-response_instructions","9","110210","0.0-9.0","AFH2OHPQSO6SS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2266","","image-button-response_instructions","10","112478","0.0-10.0","AFH2OHPQSO6SS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2944","","image-button-response_instructions","11","115424","0.0-11.0","AFH2OHPQSO6SS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
