"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5024","external_page_harvard.html","external-html","0","5180","0.0-0.0","AFK9ALQK5GPNG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1675","","image-button-response","1","6857","0.0-1.0","AFK9ALQK5GPNG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1420","","image-button-response","2","8284","0.0-2.0-0.0","AFK9ALQK5GPNG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4630","","survey-text","3","12917","0.0-3.0-0.0","AFK9ALQK5GPNG","","","","{""Q0"":""AFK9ALQK5GPNG""}","","","","","","","","","","","","","","","","","","","","","","",""
"2285","","image-button-response_instructions","4","15205","0.0-4.0","AFK9ALQK5GPNG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27768","","image-button-response_instructions","5","42976","0.0-5.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2794","","image-button-response_instructions","6","45772","0.0-6.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6145","","image-button-response_instructions","7","51919","0.0-7.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13506","","image-button-response_instructions","8","65427","0.0-8.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2043","","image-button-response_instructions","9","67472","0.0-9.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1924","","image-button-response_instructions","10","69397","0.0-10.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1144","","image-button-response_instructions","11","70543","0.0-11.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1960","","image-button-response_instructions","12","72503","0.0-12.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3625","","image-button-response_instructions","13","76131","0.0-13.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2195","","image-button-response_instructions","14","78328","0.0-14.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3981","","image-button-response_instructions","15","82310","0.0-15.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3724","","image-button-response_instructions","16","86035","0.0-16.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2494","","image-button-response_instructions","17","88531","0.0-17.0","AFK9ALQK5GPNG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1541","","image-button-response_instructions","18","90073","0.0-18.0","AFK9ALQK5GPNG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3937","","survey-text","19","94042","0.0-19.0-0.0","AFK9ALQK5GPNG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"25525","","survey-text","20","119569","0.0-20.0-0.0","AFK9ALQK5GPNG","","","","{""Q0"":""It looks like poop smeared on a hippie canvas.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9670.899999976158","","image-slider-response","21","129243","0.0-21.0","AFK9ALQK5GPNG","","","","","-31","","","","","","","","","","","","","","","","","","","","","",""
"4173","","image-button-response","22","134250","0.0-22.0","AFK9ALQK5GPNG","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1858","","image-button-response","23","136114","0.0-23.0","AFK9ALQK5GPNG","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6634","","image-button-response","24","142750","0.0-24.0-0.0","AFK9ALQK5GPNG","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3758","","image-button-response","25","146512","0.0-25.0-0.0","AFK9ALQK5GPNG","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
