"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"26161","external_page_harvard.html","external-html","0","26339","0.0-0.0","AG707KZT39EZU","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1980","","image-button-response","1","28321","0.0-1.0","AG707KZT39EZU","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1781","","image-button-response","2","30110","0.0-2.0-0.0","AG707KZT39EZU","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4820","","survey-text","3","34932","0.0-3.0-0.0","AG707KZT39EZU","","","","{""Q0"":""AG707KZT39EZU""}","","","","","","","","","","","","","","","","","","","","","","",""
"7746","","image-button-response_instructions","4","42680","0.0-4.0","AG707KZT39EZU","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25156","","image-button-response_instructions","5","67838","0.0-5.0","AG707KZT39EZU","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8312","","image-button-response_instructions","6","76152","0.0-6.0","AG707KZT39EZU","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5170","","image-button-response_instructions","7","81324","0.0-7.0","AG707KZT39EZU","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9418","","image-button-response_instructions","8","90744","0.0-8.0","AG707KZT39EZU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6206","","image-button-response_instructions","9","96952","0.0-9.0","AG707KZT39EZU","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4369","","image-button-response_instructions","10","101322","0.0-10.0","AG707KZT39EZU","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5910","","image-button-response_instructions","11","107234","0.0-11.0","AG707KZT39EZU","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10266","","image-button-response_instructions","12","117502","0.0-12.0","AG707KZT39EZU","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25536","","image-button-response_instructions","13","143039","0.0-13.0","AG707KZT39EZU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13564","","image-button-response_instructions","14","156605","0.0-14.0","AG707KZT39EZU","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6556","","image-button-response_instructions","15","163163","0.0-15.0","AG707KZT39EZU","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13694","","image-button-response_instructions","16","176859","0.0-16.0","AG707KZT39EZU","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7039","","image-button-response_instructions","17","183899","0.0-17.0","AG707KZT39EZU","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4231","","image-button-response_instructions","18","188131","0.0-18.0","AG707KZT39EZU","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6631","","survey-text","19","194797","0.0-19.0-0.0","AG707KZT39EZU","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"34063","","survey-text","20","228861","0.0-20.0-0.0","AG707KZT39EZU","","","","{""Q0"":""The strokes make me feel like I could float away. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4967.699999928474","","image-slider-response","21","233831","0.0-21.0","AG707KZT39EZU","","","","","28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","238836","0.0-22.0","AG707KZT39EZU","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6088","","image-button-response","23","244926","0.0-23.0","AG707KZT39EZU","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2205","","image-button-response","24","247134","0.0-24.0-0.0","AG707KZT39EZU","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3738","","image-button-response","25","250875","0.0-25.0-0.0","AG707KZT39EZU","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
