"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"67272","external_page_harvard.html","external-html","0","67416","0.0-0.0","AHPOOKYE7V04D","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2047","","image-button-response","1","69472","0.0-1.0","AHPOOKYE7V04D","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1698","","image-button-response","2","71204","0.0-2.0-0.0","AHPOOKYE7V04D","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7716","","survey-text","3","78932","0.0-3.0-0.0","AHPOOKYE7V04D","","","","{""Q0"":""AHPOOKYE7V04D""}","","","","","","","","","","","","","","","","","","","","","","",""
"3028","","image-button-response_instructions","4","81971","0.0-4.0","AHPOOKYE7V04D","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11105","","image-button-response_instructions","5","93080","0.0-5.0","AHPOOKYE7V04D","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2927","","image-button-response_instructions","6","96009","0.0-6.0","AHPOOKYE7V04D","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10479","","image-button-response_instructions","7","106491","0.0-7.0","AHPOOKYE7V04D","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1106","","image-button-response_instructions","8","107602","0.0-8.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2065","","image-button-response_instructions","9","109672","0.0-9.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1592","","image-button-response_instructions","10","111267","0.0-10.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1275","","image-button-response_instructions","11","112548","0.0-11.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2271","","image-button-response_instructions","12","114826","0.0-12.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1642","","image-button-response_instructions","13","116473","0.0-13.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1871","","image-button-response_instructions","14","118349","0.0-14.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1479","","image-button-response_instructions","15","119834","0.0-15.0","AHPOOKYE7V04D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2938","","image-button-response_instructions","16","122776","0.0-16.0","AHPOOKYE7V04D","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1815","","image-button-response_instructions","17","124596","0.0-17.0","AHPOOKYE7V04D","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1175","","image-button-response_instructions","18","125778","0.0-18.0","AHPOOKYE7V04D","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2743","","survey-text","19","128601","0.0-19.0-0.0","AHPOOKYE7V04D","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11336","","survey-text","20","139942","0.0-20.0-0.0","AHPOOKYE7V04D","","","","{""Q0"":""generic abstract piece, no real feeling""}","","","","","","","","","","","","","","","","","","","","","","",""
"6030.100000023842","","image-slider-response","21","145978","0.0-21.0","AHPOOKYE7V04D","","","","","-5","","","","","","","","","","","","","","","","","","","","","",""
"4515","","image-button-response","22","150993","0.0-22.0","AHPOOKYE7V04D","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"585","","image-button-response","23","151586","0.0-23.0","AHPOOKYE7V04D","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6567","","image-button-response","24","158163","0.0-24.0-0.0","AHPOOKYE7V04D","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2792","","image-button-response","25","160967","0.0-25.0-0.0","AHPOOKYE7V04D","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","161981","0.0-26.0","AHPOOKYE7V04D","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-5","generic abstract piece, no real feeling","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Jack","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Carl","very calming artwork,42,80,20","0"
"18569","","survey-text","27","180565","0.0-27.0-0.0","AHPOOKYE7V04D","","","","{""Q0"":""interesting layering of paint, like the unusual color combo""}","","","","","","","","","","","","","","","","","","","","","","",""
"11674.600000023842","","image-slider-response","28","192244","0.0-28.0","AHPOOKYE7V04D","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"3456","","image-button-response","29","197255","0.0-29.0","AHPOOKYE7V04D","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2553","","image-button-response","30","199812","0.0-30.0","AHPOOKYE7V04D","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1677","","image-button-response","31","201494","0.0-31.0-0.0","AHPOOKYE7V04D","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2231","","image-button-response","32","203736","0.0-32.0-0.0","AHPOOKYE7V04D","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
