"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9233","external_page_harvard.html","external-html","0","9365","0.0-0.0","AHZ7C7ETHYX3N","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1645","","image-button-response","1","11012","0.0-1.0","AHZ7C7ETHYX3N","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1579","","image-button-response","2","12596","0.0-2.0-0.0","AHZ7C7ETHYX3N","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2971","","survey-text","3","15569","0.0-3.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""AHZ7C7ETHYX3N""}","","","","","","","","","","","","","","","","","","","","","","",""
"16551","","image-button-response_instructions","4","32122","0.0-4.0","AHZ7C7ETHYX3N","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22971","","image-button-response_instructions","5","55094","0.0-5.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4049","","image-button-response_instructions","6","59143","0.0-6.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5412","","image-button-response_instructions","7","64556","0.0-7.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3472","","image-button-response_instructions","8","68030","0.0-8.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4158","","image-button-response_instructions","9","72189","0.0-9.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2554","","image-button-response_instructions","10","74745","0.0-10.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3011","","image-button-response_instructions","11","77758","0.0-11.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3622","","image-button-response_instructions","12","81382","0.0-12.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8380","","image-button-response_instructions","13","89763","0.0-13.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4740","","image-button-response_instructions","14","94505","0.0-14.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4117","","image-button-response_instructions","15","98624","0.0-15.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4712","","image-button-response_instructions","16","103338","0.0-16.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3349","","image-button-response_instructions","17","106689","0.0-17.0","AHZ7C7ETHYX3N","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1080","","image-button-response_instructions","18","107771","0.0-18.0","AHZ7C7ETHYX3N","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9688","","survey-text","19","117489","0.0-19.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10060","","survey-text","20","127552","0.0-20.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""its calming and relaxing to me""}","","","","","","","","","","","","","","","","","","","","","","",""
"8060.099999964237","","image-slider-response","21","135614","0.0-21.0","AHZ7C7ETHYX3N","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"3426","","image-button-response","22","140618","0.0-22.0","AHZ7C7ETHYX3N","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1481","","image-button-response","23","142102","0.0-23.0","AHZ7C7ETHYX3N","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10133","","image-button-response","24","152237","0.0-24.0-0.0","AHZ7C7ETHYX3N","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"9399","","image-button-response","25","161639","0.0-25.0-0.0","AHZ7C7ETHYX3N","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","162149","0.0-26.0","AHZ7C7ETHYX3N","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","22","its calming and relaxing to me","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","0"
"20426","","survey-text","27","182581","0.0-27.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""somewhat harsh for me, dont like shade of red""}","","","","","","","","","","","","","","","","","","","","","","",""
"4028.699999988079","","image-slider-response","28","186612","0.0-28.0","AHZ7C7ETHYX3N","","","","","-35","","","","","","","","","","","","","","","","","","","","","",""
"4091","","image-button-response","29","191616","0.0-29.0","AHZ7C7ETHYX3N","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7606","","image-button-response","30","199224","0.0-30.0","AHZ7C7ETHYX3N","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4852","","image-button-response","31","204077","0.0-31.0-0.0","AHZ7C7ETHYX3N","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1512","","image-button-response","32","205592","0.0-32.0-0.0","AHZ7C7ETHYX3N","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","206595","0.0-33.0","AHZ7C7ETHYX3N","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-35","somewhat harsh for me, dont like shade of red","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Kyle","Idk, it is just annoying,-32,180,20","Carl","I can feel the artist's passion in it,45,80,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","0"
"26226","","survey-text","34","232824","0.0-34.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""Its interesting to me, birds in flight""}","","","","","","","","","","","","","","","","","","","","","","",""
"3471.699999988079","","image-slider-response","35","236298","0.0-35.0","AHZ7C7ETHYX3N","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"1692","","image-button-response","36","241305","0.0-36.0","AHZ7C7ETHYX3N","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"523","","image-button-response","37","241830","0.0-37.0","AHZ7C7ETHYX3N","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4414","","image-button-response","38","246246","0.0-38.0-0.0","AHZ7C7ETHYX3N","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4217","","image-button-response","39","250465","0.0-39.0-0.0","AHZ7C7ETHYX3N","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","251967","0.0-40.0","AHZ7C7ETHYX3N","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","40","Its interesting to me, birds in flight","Mike,Sam,Kyle,Carl,Ron,Jack","enjoy the different shades of blue,22,200,20","I can feel a rainy day from this painting,18,240,20","It looks like a playground for bats,-36,180,20","It's an alright work,15,80,20","It looks depressing,-26,220,20","I feel connected to the artist,40,120,20","Kyle","It looks like a playground for bats,-36,180,20","Jack","I feel connected to the artist,40,120,20","Sam","I can feel a rainy day from this painting,18,240,20","0"
"5418","","image-button-response_instructions","41","257389","0.0-41.0","AHZ7C7ETHYX3N","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"45450","","survey-likert","42","302841","0.0-42.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4850","","survey-text","43","307696","0.0-43.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"20466","","survey-text","44","328165","0.0-44.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""looks like a ship in distress to me""}","","","","","","","","","","","","","","","","","","","","","","",""
"4639.600000023842","","image-slider-response","45","332807","0.0-45.0","AHZ7C7ETHYX3N","","","","","-9","","","","","","","","","","","","","","","","","","","","","",""
"4264","","image-button-response","46","337845","0.0-46.0","AHZ7C7ETHYX3N","img_art/9.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1447","","image-button-response","47","339294","0.0-47.0","AHZ7C7ETHYX3N","img_art/9.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2500","","image-button-response","48","341796","0.0-48.0-0.0","AHZ7C7ETHYX3N","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5062","","image-button-response","49","346862","0.0-49.0-0.0","AHZ7C7ETHYX3N","img_art/9.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","347367","0.0-50.0","AHZ7C7ETHYX3N","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/9.jpg","-9","looks like a ship in distress to me","Ryan,Evan,Joshua,Kevin,Brandon,Tanner","Makes me feel angry, its not very clear,-50,380,20","It makes me think of Snow White sleeping,11,140,20","Someone lying in bed?  Don't care for it.,-14,240,20","This is a picture of a scary mans head sideways.,-24,320,20","I like the sense of forboding, the green creates a claustrophobic feeling,10,320,20","sleep, calm, safe,12,180,20","Joshua","Someone lying in bed?  Don't care for it.,-14,240,20","Brandon","I like the sense of forboding, the green creates a claustrophobic feeling,10,320,20","Ryan","Makes me feel angry, its not very clear,-50,380,20","0"
"30083","","survey-text","51","377458","0.0-51.0-0.0","AHZ7C7ETHYX3N","","","","{""Q0"":""not sure what to make of this, confusing monochrome""}","","","","","","","","","","","","","","","","","","","","","","",""
"2735.699999988079","","image-slider-response","52","380195","0.0-52.0","AHZ7C7ETHYX3N","","","","","-32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","53","385198","0.0-53.0","AHZ7C7ETHYX3N","img_art/10.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2487","","image-button-response","54","387687","0.0-54.0","AHZ7C7ETHYX3N","img_art/10.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"750","","image-button-response","55","388439","0.0-55.0-0.0","AHZ7C7ETHYX3N","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"5465","","image-button-response","56","393906","0.0-56.0-0.0","AHZ7C7ETHYX3N","img_art/10.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
