"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5419","external_page_harvard.html","external-html","0","5492","0.0-0.0","AIA7RZSAONU5M","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1607","","image-button-response","1","7102","0.0-1.0","AIA7RZSAONU5M","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1659","","image-button-response","2","8770","0.0-2.0-0.0","AIA7RZSAONU5M","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7738","","survey-text","3","16510","0.0-3.0-0.0","AIA7RZSAONU5M","","","","{""Q0"":""AIA7RZSAONU5M""}","","","","","","","","","","","","","","","","","","","","","","",""
"12728","","image-button-response_instructions","4","29242","0.0-4.0","AIA7RZSAONU5M","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10409","","image-button-response_instructions","5","39654","0.0-5.0","AIA7RZSAONU5M","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6058","","image-button-response_instructions","6","45714","0.0-6.0","AIA7RZSAONU5M","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7247","","image-button-response_instructions","7","52962","0.0-7.0","AIA7RZSAONU5M","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5561","","image-button-response_instructions","8","58527","0.0-8.0","AIA7RZSAONU5M","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3762","","image-button-response_instructions","9","62291","0.0-9.0","AIA7RZSAONU5M","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
