"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"26857","external_page_harvard.html","external-html","0","27014","0.0-0.0","AIJIWIBFAT2DG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4554","","image-button-response","1","31571","0.0-1.0","AIJIWIBFAT2DG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2851","","image-button-response","2","34428","0.0-2.0-0.0","AIJIWIBFAT2DG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8605","","survey-text","3","43036","0.0-3.0-0.0","AIJIWIBFAT2DG","","","","{""Q0"":""AIJIWIBFAT2DG""}","","","","","","","","","","","","","","","","","","","","","","",""
"11026","","image-button-response_instructions","4","54064","0.0-4.0","AIJIWIBFAT2DG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"48280","","image-button-response_instructions","5","102345","0.0-5.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16070","","image-button-response_instructions","6","118417","0.0-6.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"33642","","image-button-response_instructions","7","152061","0.0-7.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19580","","image-button-response_instructions","8","171642","0.0-8.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11872","","image-button-response_instructions","9","183516","0.0-9.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4874","","image-button-response_instructions","10","188392","0.0-10.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2122","","image-button-response_instructions","11","190516","0.0-11.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4489","","image-button-response_instructions","12","195007","0.0-12.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"38375","","image-button-response_instructions","13","233384","0.0-13.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17930","","image-button-response_instructions","14","251316","0.0-14.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11280","","image-button-response_instructions","15","262597","0.0-15.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24047","","image-button-response_instructions","16","286646","0.0-16.0","AIJIWIBFAT2DG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
