"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6196","external_page_harvard.html","external-html","0","6348","0.0-0.0","AIPHY5AUGR6CG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1659","","image-button-response","1","8009","0.0-1.0","AIPHY5AUGR6CG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2792","","image-button-response","2","10809","0.0-2.0-0.0","AIPHY5AUGR6CG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6366","","survey-text","3","17177","0.0-3.0-0.0","AIPHY5AUGR6CG","","","","{""Q0"":""AIPHY5AUGR6CG""}","","","","","","","","","","","","","","","","","","","","","","",""
"6189","","image-button-response_instructions","4","23369","0.0-4.0","AIPHY5AUGR6CG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14838","","image-button-response_instructions","5","38209","0.0-5.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8397","","image-button-response_instructions","6","46609","0.0-6.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5046","","image-button-response_instructions","7","51657","0.0-7.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11702","","image-button-response_instructions","8","63361","0.0-8.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3863","","image-button-response_instructions","9","67225","0.0-9.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3607","","image-button-response_instructions","10","70833","0.0-10.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2494","","image-button-response_instructions","11","73329","0.0-11.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5502","","image-button-response_instructions","12","78833","0.0-12.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23910","","image-button-response_instructions","13","102745","0.0-13.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12918","","image-button-response_instructions","14","115665","0.0-14.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6437","","image-button-response_instructions","15","122105","0.0-15.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17686","","image-button-response_instructions","16","139793","0.0-16.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6527","","image-button-response_instructions","17","146321","0.0-17.0","AIPHY5AUGR6CG","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","image-button-response_instructions","18","148337","0.0-18.0","AIPHY5AUGR6CG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7123","","survey-text","19","155497","0.0-19.0-0.0","AIPHY5AUGR6CG","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"18693","","survey-text","20","174193","0.0-20.0-0.0","AIPHY5AUGR6CG","","","","{""Q0"":""That sure is a lot of colors happening all at once""}","","","","","","","","","","","","","","","","","","","","","","",""
"7052.699999988079","","image-slider-response","21","181249","0.0-21.0","AIPHY5AUGR6CG","","","","","2","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","186254","0.0-22.0","AIPHY5AUGR6CG","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6897","","image-button-response","23","193153","0.0-23.0","AIPHY5AUGR6CG","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3749","","image-button-response","24","196905","0.0-24.0-0.0","AIPHY5AUGR6CG","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"8572","","image-button-response","25","205482","0.0-25.0-0.0","AIPHY5AUGR6CG","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","205989","0.0-26.0","AIPHY5AUGR6CG","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","2","That sure is a lot of colors happening all at once","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Jack","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","0"
"144974","","survey-text","27","350969","0.0-27.0-0.0","AIPHY5AUGR6CG","","","","{""Q0"":""OH, this is very bold. The desaturated colors framing the pool of highly saturated red is rather... evocative. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4548.699999988079","","image-slider-response","28","355521","0.0-28.0","AIPHY5AUGR6CG","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","360524","0.0-29.0","AIPHY5AUGR6CG","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1339","","image-button-response","30","361865","0.0-30.0","AIPHY5AUGR6CG","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8021","","image-button-response","31","369889","0.0-31.0-0.0","AIPHY5AUGR6CG","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4653","","image-button-response","32","374545","0.0-32.0-0.0","AIPHY5AUGR6CG","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
