"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11620","external_page_harvard.html","external-html","0","11814","0.0-0.0","AIR4UQNPIMFCJ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2127","","image-button-response","1","13948","0.0-1.0","AIR4UQNPIMFCJ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4008","","image-button-response","2","17983","0.0-2.0-0.0","AIR4UQNPIMFCJ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10139","","survey-text","3","28128","0.0-3.0-0.0","AIR4UQNPIMFCJ","","","","{""Q0"":""AIR4UQNPIMFCJ""}","","","","","","","","","","","","","","","","","","","","","","",""
"5627","","image-button-response_instructions","4","33761","0.0-4.0","AIR4UQNPIMFCJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19715","","image-button-response_instructions","5","53488","0.0-5.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4326","","image-button-response_instructions","6","57827","0.0-6.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5240","","image-button-response_instructions","7","63080","0.0-7.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3991","","image-button-response_instructions","8","67084","0.0-8.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5304","","image-button-response_instructions","9","72403","0.0-9.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8951","","image-button-response_instructions","10","81367","0.0-10.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6360","","image-button-response_instructions","11","87739","0.0-11.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10078","","image-button-response_instructions","12","97830","0.0-12.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17303","","image-button-response_instructions","13","115145","0.0-13.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6363","","image-button-response_instructions","14","121520","0.0-14.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4773","","image-button-response_instructions","15","126297","0.0-15.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17138","","image-button-response_instructions","16","143446","0.0-16.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2929","","image-button-response_instructions","17","146387","0.0-17.0","AIR4UQNPIMFCJ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1462","","image-button-response_instructions","18","147853","0.0-18.0","AIR4UQNPIMFCJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10072","","survey-text","19","157994","0.0-19.0-0.0","AIR4UQNPIMFCJ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15549","","survey-text","20","173548","0.0-20.0-0.0","AIR4UQNPIMFCJ","","","","{""Q0"":""It looks messy.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6511","","image-slider-response","21","180068","0.0-21.0","AIR4UQNPIMFCJ","","","","","-8","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","185078","0.0-22.0","AIR4UQNPIMFCJ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"18784","","image-button-response","23","203865","0.0-23.0","AIR4UQNPIMFCJ","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2753","","image-button-response","24","206722","0.0-24.0-0.0","AIR4UQNPIMFCJ","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"7074","","image-button-response","25","213802","0.0-25.0-0.0","AIR4UQNPIMFCJ","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","214315","0.0-26.0","AIR4UQNPIMFCJ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-8","It looks messy.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"19423","","survey-text","27","233762","0.0-27.0-0.0","AIR4UQNPIMFCJ","","","","{""Q0"":""It's very static.""}","","","","","","","","","","","","","","","","","","","","","","",""
"7317","","image-slider-response","28","241084","0.0-28.0","AIR4UQNPIMFCJ","","","","","-4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","246097","0.0-29.0","AIR4UQNPIMFCJ","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4874","","image-button-response","30","250973","0.0-30.0","AIR4UQNPIMFCJ","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"9166","","image-button-response","31","260145","0.0-31.0-0.0","AIR4UQNPIMFCJ","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4877","","image-button-response","32","265028","0.0-32.0-0.0","AIR4UQNPIMFCJ","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
