"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7989","external_page_harvard.html","external-html","0","8149","0.0-0.0","AJQ71YIGY01HZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1344","","image-button-response","1","9495","0.0-1.0","AJQ71YIGY01HZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1379","","image-button-response","2","10883","0.0-2.0-0.0","AJQ71YIGY01HZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10295","","survey-text","3","21181","0.0-3.0-0.0","AJQ71YIGY01HZ","","","","{""Q0"":""AJQ71YIGY01HZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"2327","","image-button-response_instructions","4","23511","0.0-4.0","AJQ71YIGY01HZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13628","","image-button-response_instructions","5","37143","0.0-5.0","AJQ71YIGY01HZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"829","","image-button-response_instructions","6","37975","0.0-6.0","AJQ71YIGY01HZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"553","","image-button-response_instructions","7","38530","0.0-7.0","AJQ71YIGY01HZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"474","","image-button-response_instructions","8","39006","0.0-8.0","AJQ71YIGY01HZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"871","","image-button-response_instructions","9","39879","0.0-9.0","AJQ71YIGY01HZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
