"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4514","external_page_harvard.html","external-html","0","4634","0.0-0.0","AJZWOT3T73M92","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1181","","image-button-response","1","5817","0.0-1.0","AJZWOT3T73M92","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1720","","image-button-response","2","7541","0.0-2.0-0.0","AJZWOT3T73M92","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5871","","survey-text","3","13413","0.0-3.0-0.0","AJZWOT3T73M92","","","","{""Q0"":""AJZWOT3T73M92""}","","","","","","","","","","","","","","","","","","","","","","",""
"12002","","image-button-response_instructions","4","25417","0.0-4.0","AJZWOT3T73M92","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11215","","image-button-response_instructions","5","36633","0.0-5.0","AJZWOT3T73M92","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4431","","image-button-response_instructions","6","41064","0.0-6.0","AJZWOT3T73M92","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7235","","image-button-response_instructions","7","48301","0.0-7.0","AJZWOT3T73M92","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8343","","image-button-response_instructions","8","56644","0.0-8.0","AJZWOT3T73M92","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3323","","image-button-response_instructions","9","59968","0.0-9.0","AJZWOT3T73M92","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2959","","image-button-response_instructions","10","62928","0.0-10.0","AJZWOT3T73M92","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"991","","image-button-response_instructions","11","63920","0.0-11.0","AJZWOT3T73M92","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4351","","image-button-response_instructions","12","68272","0.0-12.0","AJZWOT3T73M92","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8203","","image-button-response_instructions","13","76476","0.0-13.0","AJZWOT3T73M92","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9919","","image-button-response_instructions","14","86396","0.0-14.0","AJZWOT3T73M92","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
