"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"48830","external_page_harvard.html","external-html","0","48935","0.0-0.0","AL5MR5NR0VYFI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1532","","image-button-response","1","50472","0.0-1.0","AL5MR5NR0VYFI","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2052","","image-button-response","2","52529","0.0-2.0-0.0","AL5MR5NR0VYFI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5800","","survey-text","3","58331","0.0-3.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":""AL5MR5NR0VYFI""}","","","","","","","","","","","","","","","","","","","","","","",""
"72198","","image-button-response_instructions","4","130532","0.0-4.0","AL5MR5NR0VYFI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"467315","","image-button-response_instructions","5","597849","0.0-5.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"47724","","image-button-response_instructions","6","645577","0.0-6.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3511","","image-button-response_instructions","7","649090","0.0-7.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6878","","image-button-response_instructions","8","655969","0.0-8.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1535","","image-button-response_instructions","9","657506","0.0-9.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1920","","image-button-response_instructions","10","659428","0.0-10.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2036","","image-button-response_instructions","11","661466","0.0-11.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1871","","image-button-response_instructions","12","663339","0.0-12.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"143705","","image-button-response_instructions","13","807046","0.0-13.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3959","","image-button-response_instructions","14","811008","0.0-14.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2587","","image-button-response_instructions","15","813597","0.0-15.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3107","","image-button-response_instructions","16","816707","0.0-16.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2428","","image-button-response_instructions","17","819138","0.0-17.0","AL5MR5NR0VYFI","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1322","","image-button-response_instructions","18","820462","0.0-18.0","AL5MR5NR0VYFI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4955","","survey-text","19","825446","0.0-19.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"17542","","survey-text","20","842991","0.0-20.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":""It looks like a kid drew it""}","","","","","","","","","","","","","","","","","","","","","","",""
"3593","","image-slider-response","21","846589","0.0-21.0","AL5MR5NR0VYFI","","","","","-10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","851594","0.0-22.0","AL5MR5NR0VYFI","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1911","","image-button-response","23","853509","0.0-23.0","AL5MR5NR0VYFI","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3203","","image-button-response","24","856716","0.0-24.0-0.0","AL5MR5NR0VYFI","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7725","","image-button-response","25","864447","0.0-25.0-0.0","AL5MR5NR0VYFI","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","865951","0.0-26.0","AL5MR5NR0VYFI","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-10","It looks like a kid drew it","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"19670","","survey-text","27","885629","0.0-27.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":""I've seen stuff like this in 60s tv shows""}","","","","","","","","","","","","","","","","","","","","","","",""
"2545","","image-slider-response","28","888177","0.0-28.0","AL5MR5NR0VYFI","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","893180","0.0-29.0","AL5MR5NR0VYFI","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1279","","image-button-response","30","894462","0.0-30.0","AL5MR5NR0VYFI","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3208","","image-button-response","31","897673","0.0-31.0-0.0","AL5MR5NR0VYFI","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1746","","image-button-response","32","899422","0.0-32.0-0.0","AL5MR5NR0VYFI","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","900924","0.0-33.0","AL5MR5NR0VYFI","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","14","I've seen stuff like this in 60s tv shows","Adam,James,Kyle,Carl,John,Jack","too much color,-18,20,20","looks too angry,-50,140,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Kyle","Idk, it is just annoying,-32,180,20","John","love the texture of paint,48,160,20","Adam","too much color,-18,20,20","0"
"16876","","survey-text","34","917807","0.0-34.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":""student art project methinks""}","","","","","","","","","","","","","","","","","","","","","","",""
"7582","","image-slider-response","35","925390","0.0-35.0","AL5MR5NR0VYFI","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"2559","","image-button-response","36","930393","0.0-36.0","AL5MR5NR0VYFI","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1130","","image-button-response","37","931526","0.0-37.0","AL5MR5NR0VYFI","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1165","","image-button-response","38","932694","0.0-38.0-0.0","AL5MR5NR0VYFI","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1686","","image-button-response","39","934383","0.0-39.0-0.0","AL5MR5NR0VYFI","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","935386","0.0-40.0","AL5MR5NR0VYFI","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","11","student art project methinks","Adam,Ron,Kyle,Mike,John,Sam","My daily routine, it's depressing,-20,20,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","enjoy the different shades of blue,22,200,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","Sam","I can feel a rainy day from this painting,18,240,20","Ron","It looks depressing,-26,220,20","Adam","My daily routine, it's depressing,-20,20,20","0"
"48317","","image-button-response_instructions","41","983713","0.0-41.0","AL5MR5NR0VYFI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12767","","survey-likert","42","996484","0.0-42.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":"""",""Q1"":0,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"1882","","survey-likert","43","999966","0.0-42.1-0.1","AL5MR5NR0VYFI","","","","{""Q0"":"""",""Q1"":"""",""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3321","","survey-text","44","1003293","0.0-43.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"13505","","survey-text","45","1016800","0.0-44.0-0.0","AL5MR5NR0VYFI","","","","{""Q0"":""interesting yet depressing""}","","","","","","","","","","","","","","","","","","","","","","",""
"5194.000000000116","","image-slider-response","46","1021997","0.0-45.0","AL5MR5NR0VYFI","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"4607","","image-button-response","47","1027024","0.0-46.0","AL5MR5NR0VYFI","img_art/28.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3121","","image-button-response","48","1030148","0.0-47.0","AL5MR5NR0VYFI","img_art/28.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1139","","image-button-response","49","1031289","0.0-48.0-0.0","AL5MR5NR0VYFI","img_art/28.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3713","","image-button-response","50","1035006","0.0-49.0-0.0","AL5MR5NR0VYFI","img_art/28.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
