"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"38826","external_page_harvard.html","external-html","0","38903","0.0-0.0","AM6LBRUS3YR0L","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2351","","image-button-response","1","41256","0.0-1.0","AM6LBRUS3YR0L","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2968","","image-button-response","2","44229","0.0-2.0-0.0","AM6LBRUS3YR0L","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"14077","","survey-text","3","58307","0.0-3.0-0.0","AM6LBRUS3YR0L","","","","{""Q0"":""AM6LBRUS3YR0L""}","","","","","","","","","","","","","","","","","","","","","","",""
"16692","","image-button-response_instructions","4","75001","0.0-4.0","AM6LBRUS3YR0L","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20185","","image-button-response_instructions","5","95187","0.0-5.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17160","","image-button-response_instructions","6","112349","0.0-6.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12972","","image-button-response_instructions","7","125322","0.0-7.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32006","","image-button-response_instructions","8","157329","0.0-8.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4748","","image-button-response_instructions","9","162077","0.0-9.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4653","","image-button-response_instructions","10","166731","0.0-10.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4222","","image-button-response_instructions","11","170955","0.0-11.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10101","","image-button-response_instructions","12","181056","0.0-12.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"55421","","image-button-response_instructions","13","236478","0.0-13.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9237","","image-button-response_instructions","14","245717","0.0-14.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23657","","image-button-response_instructions","15","269374","0.0-15.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9222","","image-button-response_instructions","16","278598","0.0-16.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5475","","image-button-response_instructions","17","284074","0.0-17.0","AM6LBRUS3YR0L","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2205","","image-button-response_instructions","18","286280","0.0-18.0","AM6LBRUS3YR0L","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11616","","survey-text","19","297917","0.0-19.0-0.0","AM6LBRUS3YR0L","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"62022","","survey-text","20","359941","0.0-20.0-0.0","AM6LBRUS3YR0L","","","","{""Q0"":""I find this picture agitating and unsettling.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9833.600000023842","","image-slider-response","21","369777","0.0-21.0","AM6LBRUS3YR0L","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
