"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16077","external_page_harvard.html","external-html","0","16868","0.0-0.0","AM7KUJM4MQOBM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2470","","image-button-response","1","19343","0.0-1.0","AM7KUJM4MQOBM","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4056","","image-button-response","2","23418","0.0-2.0-0.0","AM7KUJM4MQOBM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8524","","survey-text","3","31951","0.0-3.0-0.0","AM7KUJM4MQOBM","","","","{""Q0"":""AM7KUJM4MQOBM""}","","","","","","","","","","","","","","","","","","","","","","",""
"78235","","image-button-response_instructions","4","110191","0.0-4.0","AM7KUJM4MQOBM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"35650","","image-button-response_instructions","5","145847","0.0-5.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11771","","image-button-response_instructions","6","157622","0.0-6.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7275","","image-button-response_instructions","7","164902","0.0-7.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11221","","image-button-response_instructions","8","176127","0.0-8.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5556","","image-button-response_instructions","9","181686","0.0-9.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5052","","image-button-response_instructions","10","186742","0.0-10.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4647","","image-button-response_instructions","11","191393","0.0-11.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6186","","image-button-response_instructions","12","197583","0.0-12.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12563","","image-button-response_instructions","13","210151","0.0-13.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9996","","image-button-response_instructions","14","220150","0.0-14.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8205","","image-button-response_instructions","15","228359","0.0-15.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13143","","image-button-response_instructions","16","241507","0.0-16.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9304","","image-button-response_instructions","17","250815","0.0-17.0","AM7KUJM4MQOBM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2660","","image-button-response_instructions","18","253478","0.0-18.0","AM7KUJM4MQOBM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
