"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"1045062","external_page_harvard.html","external-html","0","1045291","0.0-0.0","ANUA9X7BFPTR8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2274","","image-button-response","1","1047568","0.0-1.0","ANUA9X7BFPTR8","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2506","","image-button-response","2","1050081","0.0-2.0-0.0","ANUA9X7BFPTR8","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6205","","survey-text","3","1056289","0.0-3.0-0.0","ANUA9X7BFPTR8","","","","{""Q0"":""ANUA9X7BFPTR8""}","","","","","","","","","","","","","","","","","","","","","","",""
"77867","","image-button-response_instructions","4","1134161","0.0-4.0","ANUA9X7BFPTR8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29734","","image-button-response_instructions","5","1163897","0.0-5.0","ANUA9X7BFPTR8","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6555","","image-button-response_instructions","6","1170453","0.0-6.0","ANUA9X7BFPTR8","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3256","","image-button-response_instructions","7","1173710","0.0-7.0","ANUA9X7BFPTR8","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32863","","image-button-response_instructions","8","1206575","0.0-8.0","ANUA9X7BFPTR8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3570","","image-button-response_instructions","9","1210145","0.0-9.0","ANUA9X7BFPTR8","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3320","","image-button-response_instructions","10","1213466","0.0-10.0","ANUA9X7BFPTR8","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2552","","image-button-response_instructions","11","1216020","0.0-11.0","ANUA9X7BFPTR8","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
