"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11856","external_page_harvard.html","external-html","0","12046","0.0-0.0","AO71E3MTYDM8L","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556","","image-button-response","1","13603","0.0-1.0","AO71E3MTYDM8L","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1577","","image-button-response","2","15185","0.0-2.0-0.0","AO71E3MTYDM8L","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5549","","survey-text","3","20737","0.0-3.0-0.0","AO71E3MTYDM8L","","","","{""Q0"":""AO71E3MTYDM8L""}","","","","","","","","","","","","","","","","","","","","","","",""
"5199","","image-button-response_instructions","4","25937","0.0-4.0","AO71E3MTYDM8L","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7488","","image-button-response_instructions","5","33427","0.0-5.0","AO71E3MTYDM8L","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3157","","image-button-response_instructions","6","36585","0.0-6.0","AO71E3MTYDM8L","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3322","","image-button-response_instructions","7","39909","0.0-7.0","AO71E3MTYDM8L","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16579","","image-button-response_instructions","8","56490","0.0-8.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2642","","image-button-response_instructions","9","59134","0.0-9.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2187","","image-button-response_instructions","10","61323","0.0-10.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4078","","image-button-response_instructions","11","65403","0.0-11.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5004","","image-button-response_instructions","12","70407","0.0-12.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10280","","image-button-response_instructions","13","80690","0.0-13.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5976","","image-button-response_instructions","14","86667","0.0-14.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2954","","image-button-response_instructions","15","89623","0.0-15.0","AO71E3MTYDM8L","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12157","","image-button-response_instructions","16","101781","0.0-16.0","AO71E3MTYDM8L","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2296","","image-button-response_instructions","17","104078","0.0-17.0","AO71E3MTYDM8L","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1697","","image-button-response_instructions","18","105777","0.0-18.0","AO71E3MTYDM8L","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7864","","survey-text","19","113664","0.0-19.0-0.0","AO71E3MTYDM8L","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16944","","survey-text","20","130611","0.0-20.0-0.0","AO71E3MTYDM8L","","","","{""Q0"":""looks like a field of flowers""}","","","","","","","","","","","","","","","","","","","","","","",""
"6064.699999928474","","image-slider-response","21","136678","0.0-21.0","AO71E3MTYDM8L","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","141686","0.0-22.0","AO71E3MTYDM8L","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3247","","image-button-response","23","144937","0.0-23.0","AO71E3MTYDM8L","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2454","","image-button-response","24","147395","0.0-24.0-0.0","AO71E3MTYDM8L","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4752","","image-button-response","25","152150","0.0-25.0-0.0","AO71E3MTYDM8L","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
