"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"32663","external_page_harvard.html","external-html","0","33423","0.0-0.0","AOJRP10FWOFA9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1911","","image-button-response","1","35340","0.0-1.0","AOJRP10FWOFA9","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2858","","image-button-response","2","38212","0.0-2.0-0.0","AOJRP10FWOFA9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7291","","survey-text","3","45510","0.0-3.0-0.0","AOJRP10FWOFA9","","","","{""Q0"":""AOJRP10FWOFA9""}","","","","","","","","","","","","","","","","","","","","","","",""
"5634","","image-button-response_instructions","4","51149","0.0-4.0","AOJRP10FWOFA9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"32587","","image-button-response_instructions","5","83740","0.0-5.0","AOJRP10FWOFA9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8739","","image-button-response_instructions","6","92484","0.0-6.0","AOJRP10FWOFA9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7682","","image-button-response_instructions","7","100172","0.0-7.0","AOJRP10FWOFA9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20546","","image-button-response_instructions","8","120723","0.0-8.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3987","","image-button-response_instructions","9","124715","0.0-9.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3893","","image-button-response_instructions","10","128612","0.0-10.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1749","","image-button-response_instructions","11","130363","0.0-11.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4460","","image-button-response_instructions","12","134827","0.0-12.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12990","","image-button-response_instructions","13","147819","0.0-13.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10733","","image-button-response_instructions","14","158555","0.0-14.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2660","","image-button-response_instructions","15","161219","0.0-15.0","AOJRP10FWOFA9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
