"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"24179","external_page_harvard.html","external-html","0","24267","0.0-0.0","APL91ALK40HL6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406","","image-button-response","1","25673","0.0-1.0","APL91ALK40HL6","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2405","","image-button-response","2","28081","0.0-2.0-0.0","APL91ALK40HL6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3751","","survey-text","3","31833","0.0-3.0-0.0","APL91ALK40HL6","","","","{""Q0"":""APL91ALK40HL6""}","","","","","","","","","","","","","","","","","","","","","","",""
"38967","","image-button-response_instructions","4","70801","0.0-4.0","APL91ALK40HL6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9181","","image-button-response_instructions","5","79983","0.0-5.0","APL91ALK40HL6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4987","","image-button-response_instructions","6","84971","0.0-6.0","APL91ALK40HL6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8125","","image-button-response_instructions","7","93097","0.0-7.0","APL91ALK40HL6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5041","","image-button-response_instructions","8","98139","0.0-8.0","APL91ALK40HL6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3256","","image-button-response_instructions","9","101395","0.0-9.0","APL91ALK40HL6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3685","","image-button-response_instructions","10","105081","0.0-10.0","APL91ALK40HL6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2313","","image-button-response_instructions","11","107395","0.0-11.0","APL91ALK40HL6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4735","","image-button-response_instructions","12","112131","0.0-12.0","APL91ALK40HL6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13955","","image-button-response_instructions","13","126087","0.0-13.0","APL91ALK40HL6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7233","","image-button-response_instructions","14","133321","0.0-14.0","APL91ALK40HL6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3591","","image-button-response_instructions","15","136913","0.0-15.0","APL91ALK40HL6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5917","","image-button-response_instructions","16","142831","0.0-16.0","APL91ALK40HL6","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3404","","image-button-response_instructions","17","146235","0.0-17.0","APL91ALK40HL6","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1514","","image-button-response_instructions","18","147749","0.0-18.0","APL91ALK40HL6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5184","","survey-text","19","152951","0.0-19.0-0.0","APL91ALK40HL6","","","","{""Q0"":""BUT""}","","","","","","","","","","","","","","","","","","","","","","",""
"2510","","survey-text","20","159029","0.0-19.1-0.1","APL91ALK40HL6","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"27279","","survey-text","21","186309","0.0-20.0-0.0","APL91ALK40HL6","","","","{""Q0"":""painting is not interesting, is just a bunch of paint strokes""}","","","","","","","","","","","","","","","","","","","","","","",""
"3332.2000000476837","","image-slider-response","22","189643","0.0-21.0","APL91ALK40HL6","","","","","-33","","","","","","","","","","","","","","","","","","","","","",""
"4307","","image-button-response","23","194646","0.0-22.0","APL91ALK40HL6","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1614","","image-button-response","24","196263","0.0-23.0","APL91ALK40HL6","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6147","","image-button-response","25","202411","0.0-24.0-0.0","APL91ALK40HL6","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
