"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"33003","external_page_harvard.html","external-html","0","33380","0.0-0.0","APU5AAZWI18EY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2871","","image-button-response","1","36255","0.0-1.0","APU5AAZWI18EY","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1992","","image-button-response","2","38269","0.0-2.0-0.0","APU5AAZWI18EY","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"16257","","survey-text","3","54542","0.0-3.0-0.0","APU5AAZWI18EY","","","","{""Q0"":""APU5AAZWI18EY""}","","","","","","","","","","","","","","","","","","","","","","",""
"22266","","image-button-response_instructions","4","76815","0.0-4.0","APU5AAZWI18EY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"293554","","image-button-response_instructions","5","370373","0.0-5.0","APU5AAZWI18EY","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4335","","image-button-response_instructions","6","374712","0.0-6.0","APU5AAZWI18EY","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4103","","image-button-response_instructions","7","378830","0.0-7.0","APU5AAZWI18EY","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7440","","image-button-response_instructions","8","386289","0.0-8.0","APU5AAZWI18EY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4996","","image-button-response_instructions","9","391288","0.0-9.0","APU5AAZWI18EY","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2734","","image-button-response_instructions","10","394030","0.0-10.0","APU5AAZWI18EY","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2444","","image-button-response_instructions","11","396492","0.0-11.0","APU5AAZWI18EY","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4970","","image-button-response_instructions","12","401467","0.0-12.0","APU5AAZWI18EY","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5553","","image-button-response_instructions","13","407022","0.0-13.0","APU5AAZWI18EY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13961","","image-button-response_instructions","14","420997","0.0-14.0","APU5AAZWI18EY","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1006","","image-button-response_instructions","15","422007","0.0-15.0","APU5AAZWI18EY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1330","","image-button-response_instructions","16","423351","0.0-16.0","APU5AAZWI18EY","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"554","","image-button-response_instructions","17","423909","0.0-17.0","APU5AAZWI18EY","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"243","","image-button-response_instructions","18","424154","0.0-18.0","APU5AAZWI18EY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11809","","survey-text","19","436013","0.0-19.0-0.0","APU5AAZWI18EY","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"20246","","survey-text","20","456271","0.0-20.0-0.0","APU5AAZWI18EY","","","","{""Q0"":""Nasty painting""}","","","","","","","","","","","","","","","","","","","","","","",""
"3840","","image-slider-response","21","460121","0.0-21.0","APU5AAZWI18EY","","","","","41","","","","","","","","","","","","","","","","","","","","","",""
"4417","","image-button-response","22","465136","0.0-22.0","APU5AAZWI18EY","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1071","","image-button-response","23","466214","0.0-23.0","APU5AAZWI18EY","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4040","","image-button-response","24","470272","0.0-24.0-0.0","APU5AAZWI18EY","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3308","","image-button-response","25","473591","0.0-25.0-0.0","APU5AAZWI18EY","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","474096","0.0-26.0","APU5AAZWI18EY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","41","Nasty painting","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"36086","","survey-text","27","510201","0.0-27.0-0.0","APU5AAZWI18EY","","","","{""Q0"":""This is like nasty painting.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6105","","image-slider-response","28","516313","0.0-28.0","APU5AAZWI18EY","","","","","35","","","","","","","","","","","","","","","","","","","","","",""
"2924","","image-button-response","29","521321","0.0-29.0","APU5AAZWI18EY","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"744","","image-button-response","30","522072","0.0-30.0","APU5AAZWI18EY","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2642","","image-button-response","31","524716","0.0-31.0-0.0","APU5AAZWI18EY","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2147","","image-button-response","32","526874","0.0-32.0-0.0","APU5AAZWI18EY","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","528377","0.0-33.0","APU5AAZWI18EY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","35","This is like nasty painting.","Katie,Kara,Beth,Jenna,Erika,Jen","too much color!,-28,180,20","I like the blocks of color arrangements,30,160,20","meaningless painting,-45,60,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Katie","too much color!,-28,180,20","Jenna","One of my pet peevs,-48,140,20","0"
"7074","","survey-text","34","535467","0.0-34.0-0.0","APU5AAZWI18EY","","","","{""Q0"":""This is like nasty painting.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3238","","image-slider-response","35","538724","0.0-35.0","APU5AAZWI18EY","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"3006","","image-button-response","36","543732","0.0-36.0","APU5AAZWI18EY","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"725","","image-button-response","37","544480","0.0-37.0","APU5AAZWI18EY","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2701","","image-button-response","38","547192","0.0-38.0-0.0","APU5AAZWI18EY","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4999","","image-button-response","39","552205","0.0-39.0-0.0","APU5AAZWI18EY","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","553211","0.0-40.0","APU5AAZWI18EY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","29","This is like nasty painting.","Katie,Kara,Leslie,Jenna,Mary,Rose","It looks depressing,-26,180,20","calming blue is very nice,36,160,20","It's an alright work,15,200,20","looks like a murder room,-35,140,20","I like the overlapping of brushes,41,220,20","My daily routine, it's depressing,-20,240,20","Leslie","It's an alright work,15,200,20","Kara","calming blue is very nice,36,160,20","Mary","I like the overlapping of brushes,41,220,20","0"
"8896","","image-button-response_instructions","41","562119","0.0-41.0","APU5AAZWI18EY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
