"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"47903","external_page_harvard.html","external-html","0","47967","0.0-0.0","APWB9BS1SONNS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2118","","image-button-response","1","50087","0.0-1.0","APWB9BS1SONNS","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4068","","image-button-response","2","54158","0.0-2.0-0.0","APWB9BS1SONNS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10933","","survey-text","3","65092","0.0-3.0-0.0","APWB9BS1SONNS","","","","{""Q0"":""APWB9BS1SONNS""}","","","","","","","","","","","","","","","","","","","","","","",""
"6540","","image-button-response_instructions","4","71635","0.0-4.0","APWB9BS1SONNS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23198","","image-button-response_instructions","5","94833","0.0-5.0","APWB9BS1SONNS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6402","","image-button-response_instructions","6","101236","0.0-6.0","APWB9BS1SONNS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4155","","image-button-response_instructions","7","105392","0.0-7.0","APWB9BS1SONNS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4727","","image-button-response_instructions","8","110121","0.0-8.0","APWB9BS1SONNS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5008","","image-button-response_instructions","9","115130","0.0-9.0","APWB9BS1SONNS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5099","","image-button-response_instructions","10","120230","0.0-10.0","APWB9BS1SONNS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3213","","image-button-response_instructions","11","123444","0.0-11.0","APWB9BS1SONNS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8000","","image-button-response_instructions","12","131445","0.0-12.0","APWB9BS1SONNS","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13338","","image-button-response_instructions","13","144784","0.0-13.0","APWB9BS1SONNS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7830","","image-button-response_instructions","14","152614","0.0-14.0","APWB9BS1SONNS","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5617","","image-button-response_instructions","15","158233","0.0-15.0","APWB9BS1SONNS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6780","","image-button-response_instructions","16","165013","0.0-16.0","APWB9BS1SONNS","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11824","","image-button-response_instructions","17","176838","0.0-17.0","APWB9BS1SONNS","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2724","","image-button-response_instructions","18","179563","0.0-18.0","APWB9BS1SONNS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10958","","survey-text","19","190537","0.0-19.0-0.0","APWB9BS1SONNS","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"26503","","survey-text","20","217042","0.0-20.0-0.0","APWB9BS1SONNS","","","","{""Q0"":""I am not blown away by this, I feel like even an amateur artist could create something like this.""}","","","","","","","","","","","","","","","","","","","","","","",""
"8321.600000023842","","image-slider-response","21","225365","0.0-21.0","APWB9BS1SONNS","","","","","-29","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","230372","0.0-22.0","APWB9BS1SONNS","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"11569","","image-button-response","23","241942","0.0-23.0","APWB9BS1SONNS","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"12449","","image-button-response","24","254392","0.0-24.0-0.0","APWB9BS1SONNS","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10873","","image-button-response","25","265267","0.0-25.0-0.0","APWB9BS1SONNS","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
