"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7592","external_page_harvard.html","external-html","0","7670","0.0-0.0","AQJWO4YPR3LUQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1211","","image-button-response","1","8884","0.0-1.0","AQJWO4YPR3LUQ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1457","","image-button-response","2","10347","0.0-2.0-0.0","AQJWO4YPR3LUQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2534","","survey-text","3","12883","0.0-3.0-0.0","AQJWO4YPR3LUQ","","","","{""Q0"":""AQJWO4YPR3LUQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"4374","","image-button-response_instructions","4","17260","0.0-4.0","AQJWO4YPR3LUQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8117","","image-button-response_instructions","5","25380","0.0-5.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2894","","image-button-response_instructions","6","28275","0.0-6.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3550","","image-button-response_instructions","7","31827","0.0-7.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12015","","image-button-response_instructions","8","43844","0.0-8.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6653","","image-button-response_instructions","9","50499","0.0-9.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2967","","image-button-response_instructions","10","53468","0.0-10.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18756","","image-button-response_instructions","11","72226","0.0-11.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"40767","","image-button-response_instructions","12","112995","0.0-12.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"70812","","image-button-response_instructions","13","183809","0.0-13.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2598","","image-button-response_instructions","14","186409","0.0-14.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3238","","image-button-response_instructions","15","189649","0.0-15.0","AQJWO4YPR3LUQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
