"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4742","external_page_harvard.html","external-html","0","4819","0.0-0.0","AR149JH34I0RE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3435","","image-button-response","1","8257","0.0-1.0","AR149JH34I0RE","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2534","","image-button-response","2","10796","0.0-2.0-0.0","AR149JH34I0RE","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7850","","survey-text","3","18647","0.0-3.0-0.0","AR149JH34I0RE","","","","{""Q0"":""AR149JH34I0RE""}","","","","","","","","","","","","","","","","","","","","","","",""
"6052","","image-button-response_instructions","4","24702","0.0-4.0","AR149JH34I0RE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13077","","image-button-response_instructions","5","37781","0.0-5.0","AR149JH34I0RE","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6769","","image-button-response_instructions","6","44551","0.0-6.0","AR149JH34I0RE","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4919","","image-button-response_instructions","7","49471","0.0-7.0","AR149JH34I0RE","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22172","","image-button-response_instructions","8","71645","0.0-8.0","AR149JH34I0RE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4103","","image-button-response_instructions","9","75749","0.0-9.0","AR149JH34I0RE","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1825","","image-button-response_instructions","10","77576","0.0-10.0","AR149JH34I0RE","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1376","","image-button-response_instructions","11","78954","0.0-11.0","AR149JH34I0RE","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7022","","image-button-response_instructions","12","85977","0.0-12.0","AR149JH34I0RE","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14920","","image-button-response_instructions","13","100898","0.0-13.0","AR149JH34I0RE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11103","","image-button-response_instructions","14","112002","0.0-14.0","AR149JH34I0RE","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"228","","image-button-response_instructions","15","112232","0.0-15.0","AR149JH34I0RE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9390","","image-button-response_instructions","16","121623","0.0-16.0","AR149JH34I0RE","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4879","","image-button-response_instructions","17","126503","0.0-17.0","AR149JH34I0RE","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2877","","image-button-response_instructions","18","129382","0.0-18.0","AR149JH34I0RE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5957","","survey-text","19","135359","0.0-19.0-0.0","AR149JH34I0RE","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"12804","","survey-text","20","148164","0.0-20.0-0.0","AR149JH34I0RE","","","","{""Q0"":""Very colorful and sporadic""}","","","","","","","","","","","","","","","","","","","","","","",""
"9268.900000035763","","image-slider-response","21","157435","0.0-21.0","AR149JH34I0RE","","","","","7","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","162448","0.0-22.0","AR149JH34I0RE","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"993","","image-button-response","23","163446","0.0-23.0","AR149JH34I0RE","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"8576","","image-button-response","24","172024","0.0-24.0-0.0","AR149JH34I0RE","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3168","","image-button-response","25","175195","0.0-25.0-0.0","AR149JH34I0RE","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2143","","image-button-response","26","182971","0.0-25.1-0.1","AR149JH34I0RE","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1327","","image-button-response","27","190982","0.0-25.2-0.2","AR149JH34I0RE","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1108","","image-button-response","28","195707","0.0-25.3-0.3","AR149JH34I0RE","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
