"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"3463","external_page_harvard.html","external-html","0","3569","0.0-0.0","AS2MFSWNC5CQI","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1102","","image-button-response","1","4673","0.0-1.0","AS2MFSWNC5CQI","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1124","","image-button-response","2","5800","0.0-2.0-0.0","AS2MFSWNC5CQI","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5343","","survey-text","3","11144","0.0-3.0-0.0","AS2MFSWNC5CQI","","","","{""Q0"":""AS2MFSWNC5CQI""}","","","","","","","","","","","","","","","","","","","","","","",""
"1046","","image-button-response_instructions","4","12193","0.0-4.0","AS2MFSWNC5CQI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3845","","image-button-response_instructions","5","16041","0.0-5.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7176","","image-button-response_instructions","6","23218","0.0-6.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6422","","image-button-response_instructions","7","29641","0.0-7.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8615","","image-button-response_instructions","8","38257","0.0-8.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2575","","image-button-response_instructions","9","40832","0.0-9.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2047","","image-button-response_instructions","10","42880","0.0-10.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6504","","image-button-response_instructions","11","49385","0.0-11.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2487","","image-button-response_instructions","12","51872","0.0-12.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11343","","image-button-response_instructions","13","63216","0.0-13.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3480","","image-button-response_instructions","14","66697","0.0-14.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5191","","image-button-response_instructions","15","71889","0.0-15.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5431","","image-button-response_instructions","16","77321","0.0-16.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3470","","image-button-response_instructions","17","80792","0.0-17.0","AS2MFSWNC5CQI","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1503","","image-button-response_instructions","18","82296","0.0-18.0","AS2MFSWNC5CQI","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8163","","survey-text","19","90480","0.0-19.0-0.0","AS2MFSWNC5CQI","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10855","","survey-text","20","101336","0.0-20.0-0.0","AS2MFSWNC5CQI","","","","{""Q0"":""I think its ugly and boring""}","","","","","","","","","","","","","","","","","","","","","","",""
"2678","","image-slider-response","21","104017","0.0-21.0","AS2MFSWNC5CQI","","","","","-41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","109024","0.0-22.0","AS2MFSWNC5CQI","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"704","","image-button-response","23","109728","0.0-23.0","AS2MFSWNC5CQI","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6455","","image-button-response","24","116184","0.0-24.0-0.0","AS2MFSWNC5CQI","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2239","","image-button-response","25","118425","0.0-25.0-0.0","AS2MFSWNC5CQI","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6955","","image-button-response","26","128808","0.0-25.1-0.1","AS2MFSWNC5CQI","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
