"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13806","external_page_harvard.html","external-html","0","13945","0.0-0.0","AS6V4N9C0YUEN","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1795","","image-button-response","1","15743","0.0-1.0","AS6V4N9C0YUEN","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3673","","image-button-response","2","19423","0.0-2.0-0.0","AS6V4N9C0YUEN","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7318","","survey-text","3","26744","0.0-3.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":""AS6V4N9C0YUEN""}","","","","","","","","","","","","","","","","","","","","","","",""
"11980","","image-button-response_instructions","4","38727","0.0-4.0","AS6V4N9C0YUEN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15087","","image-button-response_instructions","5","53815","0.0-5.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5662","","image-button-response_instructions","6","59479","0.0-6.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5631","","image-button-response_instructions","7","65111","0.0-7.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18326","","image-button-response_instructions","8","83439","0.0-8.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4526","","image-button-response_instructions","9","87967","0.0-9.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4710","","image-button-response_instructions","10","92679","0.0-10.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3767","","image-button-response_instructions","11","96447","0.0-11.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8639","","image-button-response_instructions","12","105087","0.0-12.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12982","","image-button-response_instructions","13","118070","0.0-13.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17463","","image-button-response_instructions","14","135535","0.0-14.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5375","","image-button-response_instructions","15","140911","0.0-15.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13327","","image-button-response_instructions","16","154238","0.0-16.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5847","","image-button-response_instructions","17","160086","0.0-17.0","AS6V4N9C0YUEN","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2535","","image-button-response_instructions","18","162623","0.0-18.0","AS6V4N9C0YUEN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6505","","survey-text","19","169158","0.0-19.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"15855","","survey-text","20","185015","0.0-20.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":""it reminds me of a sunrise/sunset""}","","","","","","","","","","","","","","","","","","","","","","",""
"3140.8000000002794","","image-slider-response","21","188159","0.0-21.0","AS6V4N9C0YUEN","","","","","28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","193163","0.0-22.0","AS6V4N9C0YUEN","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4857","","image-button-response","23","198024","0.0-23.0","AS6V4N9C0YUEN","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1429","","image-button-response","24","199456","0.0-24.0-0.0","AS6V4N9C0YUEN","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4172","","image-button-response","25","203631","0.0-25.0-0.0","AS6V4N9C0YUEN","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","204134","0.0-26.0","AS6V4N9C0YUEN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","28","it reminds me of a sunrise/sunset","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"25978","","survey-text","27","230120","0.0-27.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":""I love the contrasting colors and the warm feeling of this painting""}","","","","","","","","","","","","","","","","","","","","","","",""
"3541.600000000093","","image-slider-response","28","233664","0.0-28.0","AS6V4N9C0YUEN","","","","","24","","","","","","","","","","","","","","","","","","","","","",""
"4294","","image-button-response","29","238667","0.0-29.0","AS6V4N9C0YUEN","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"562","","image-button-response","30","239232","0.0-30.0","AS6V4N9C0YUEN","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5109","","image-button-response","31","244343","0.0-31.0-0.0","AS6V4N9C0YUEN","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4542","","image-button-response","32","248888","0.0-32.0-0.0","AS6V4N9C0YUEN","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","249390","0.0-33.0","AS6V4N9C0YUEN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","24","I love the contrasting colors and the warm feeling of this painting","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","0"
"21290","","survey-text","34","270688","0.0-34.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":""This reminds me of birds flying in a big group""}","","","","","","","","","","","","","","","","","","","","","","",""
"3388.899999999907","","image-slider-response","35","274079","0.0-35.0","AS6V4N9C0YUEN","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","279082","0.0-36.0","AS6V4N9C0YUEN","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"6339","","image-button-response","37","285424","0.0-37.0","AS6V4N9C0YUEN","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"574","","image-button-response","38","286000","0.0-38.0-0.0","AS6V4N9C0YUEN","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1469","","image-button-response","39","287472","0.0-39.0-0.0","AS6V4N9C0YUEN","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","288974","0.0-40.0","AS6V4N9C0YUEN","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","26","This reminds me of birds flying in a big group","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Erika","I feel connected to the artist,40,100,20","Jen","I can feel a rainy day from this painting,18,120,20","Kara","calming blue is very nice,36,160,20","0"
"5922","","image-button-response_instructions","41","294903","0.0-41.0","AS6V4N9C0YUEN","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10070","","survey-likert","42","304975","0.0-42.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"7377","","survey-text","43","312366","0.0-43.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"51431","","survey-text","44","363799","0.0-44.0-0.0","AS6V4N9C0YUEN","","","","{""Q0"":""I love how busy and full of life this painting looks without having any strongly rendered detail or distinction. It really calls on the viewers imagination.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4574.0999999996275","","image-slider-response","45","368376","0.0-45.0","AS6V4N9C0YUEN","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","373409","0.0-46.0","AS6V4N9C0YUEN","img_art/19.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1436","","image-button-response","47","374848","0.0-47.0","AS6V4N9C0YUEN","img_art/19.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3725","","image-button-response","48","378576","0.0-48.0-0.0","AS6V4N9C0YUEN","img_art/19.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
