"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"79447","external_page_harvard.html","external-html","0","79859","0.0-0.0","AS8JG1LSWTMGY","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6211","","image-button-response","1","86077","0.0-1.0","AS8JG1LSWTMGY","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2543","","image-button-response","2","88636","0.0-2.0-0.0","AS8JG1LSWTMGY","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"28868","","survey-text","3","117509","0.0-3.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""AS8JG1LSWTMGY""}","","","","","","","","","","","","","","","","","","","","","","",""
"25658","","image-button-response_instructions","4","143172","0.0-4.0","AS8JG1LSWTMGY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"49021","","image-button-response_instructions","5","192197","0.0-5.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"31508","","image-button-response_instructions","6","223708","0.0-6.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"29133","","image-button-response_instructions","7","252844","0.0-7.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"42029","","image-button-response_instructions","8","294877","0.0-8.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12933","","image-button-response_instructions","9","307812","0.0-9.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7395","","image-button-response_instructions","10","315212","0.0-10.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4781","","image-button-response_instructions","11","319997","0.0-11.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34853","","image-button-response_instructions","12","354852","0.0-12.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"36398","","image-button-response_instructions","13","391252","0.0-13.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"62612","","image-button-response_instructions","14","453868","0.0-14.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"131958","","image-button-response_instructions","15","585829","0.0-15.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28821","","image-button-response_instructions","16","614653","0.0-16.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15526","","image-button-response_instructions","17","630181","0.0-17.0","AS8JG1LSWTMGY","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2718","","image-button-response_instructions","18","632901","0.0-18.0","AS8JG1LSWTMGY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17386","","survey-text","19","650349","0.0-19.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"35698","","survey-text","20","686052","0.0-20.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""Not impressed at all!""}","","","","","","","","","","","","","","","","","","","","","","",""
"13648","","image-slider-response","21","699709","0.0-21.0","AS8JG1LSWTMGY","","","","","-30","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","704732","0.0-22.0","AS8JG1LSWTMGY","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2605","","image-button-response","23","707341","0.0-23.0","AS8JG1LSWTMGY","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5963","","image-button-response","24","713309","0.0-24.0-0.0","AS8JG1LSWTMGY","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6703","","image-button-response","25","720022","0.0-25.0-0.0","AS8JG1LSWTMGY","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","721537","0.0-26.0","AS8JG1LSWTMGY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-30","Not impressed at all!","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Adam","Seems like doodles,-20,20,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","0"
"48372","","survey-text","27","769924","0.0-27.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""Kind of a mixed bag, takes more study to appreciate it""}","","","","","","","","","","","","","","","","","","","","","","",""
"15609","","image-slider-response","28","785540","0.0-28.0","AS8JG1LSWTMGY","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","790558","0.0-29.0","AS8JG1LSWTMGY","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"251","","image-button-response","30","790815","0.0-30.0","AS8JG1LSWTMGY","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"13266","","image-button-response","31","804087","0.0-31.0-0.0","AS8JG1LSWTMGY","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"9865","","image-button-response","32","813958","0.0-32.0-0.0","AS8JG1LSWTMGY","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","814971","0.0-33.0","AS8JG1LSWTMGY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","21","Kind of a mixed bag, takes more study to appreciate it","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","John","love the texture of paint,48,160,20","Daniel","One of my pet peevs,-48,100,20","Adam","too much color,-18,20,20","0"
"43943","","survey-text","34","858926","0.0-34.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""Love it the use of color, thumbs up""}","","","","","","","","","","","","","","","","","","","","","","",""
"13633","","image-slider-response","35","872565","0.0-35.0","AS8JG1LSWTMGY","","","","","35","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","877570","0.0-36.0","AS8JG1LSWTMGY","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"296","","image-button-response","37","877870","0.0-37.0","AS8JG1LSWTMGY","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"10115","","image-button-response","38","887990","0.0-38.0-0.0","AS8JG1LSWTMGY","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4232","","image-button-response","39","892230","0.0-39.0-0.0","AS8JG1LSWTMGY","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","893748","0.0-40.0","AS8JG1LSWTMGY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","35","Love it the use of color, thumbs up","Adam,John,Ron,Mike,Daniel,Sam","My daily routine, it's depressing,-20,20,20","I like the overlapping of brushes,41,160,20","It looks depressing,-26,220,20","enjoy the different shades of blue,22,200,20","looks like a murder room,-35,100,20","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","John","I like the overlapping of brushes,41,160,20","Sam","I can feel a rainy day from this painting,18,240,20","0"
"14688","","image-button-response_instructions","41","908447","0.0-41.0","AS8JG1LSWTMGY","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"38410","","survey-likert","42","946862","0.0-42.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"10098","","survey-text","43","956980","0.0-43.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"56573","","survey-text","44","1013557","0.0-44.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""I don't like birds with one leg, depressing.""}","","","","","","","","","","","","","","","","","","","","","","",""
"14475","","image-slider-response","45","1028037","0.0-45.0","AS8JG1LSWTMGY","","","","","-36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","1033106","0.0-46.0","AS8JG1LSWTMGY","img_art/6.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2694","","image-button-response","47","1035804","0.0-47.0","AS8JG1LSWTMGY","img_art/6.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"9164","","image-button-response","48","1044976","0.0-48.0-0.0","AS8JG1LSWTMGY","img_art/6.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"12608","","image-button-response","49","1057589","0.0-49.0-0.0","AS8JG1LSWTMGY","img_art/6.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","1058092","0.0-50.0","AS8JG1LSWTMGY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/6.jpg","-36","I don't like birds with one leg, depressing.","Shawn,Evan,Carlos,Alex,Jordan,Chase","Cute and evocative,11,100,20","I am intrigued but unsure whether I enjoy this or not,6,140,20","Clean and simple, a pleasant resting place for the eyes.,21,80,20","Definitely belongs at a doctor's office, I think it's a crow or a tree?,-3,100,20","This picture is weird,-6,160,20","It's a bit bland, but looks like a bird standing.,11,120,20","Evan","I am intrigued but unsure whether I enjoy this or not,6,140,20","Chase","It's a bit bland, but looks like a bird standing.,11,120,20","Jordan","This picture is weird,-6,160,20","0"
"72300","","survey-text","51","1130404","0.0-51.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""Nah, no talent needed! ""}","","","","","","","","","","","","","","","","","","","","","","",""
"9707","","image-slider-response","52","1140116","0.0-52.0","AS8JG1LSWTMGY","","","","","-40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","53","1145131","0.0-53.0","AS8JG1LSWTMGY","img_art/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5838","","image-button-response","54","1150973","0.0-54.0","AS8JG1LSWTMGY","img_art/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4244","","image-button-response","55","1155222","0.0-55.0-0.0","AS8JG1LSWTMGY","img_art/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3971","","image-button-response","56","1159199","0.0-56.0-0.0","AS8JG1LSWTMGY","img_art/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","1160208","0.0-57.0","AS8JG1LSWTMGY","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/3.jpg","-40","Nah, no talent needed! ","Sean,Evan,Steven,Jesus,Jordan,Chase","my response to the picture is a lot of red, danger,,-21,40,20","It feels like a half assed and failed imitation of Japanese signatures on old paintings,-22,140,20","i don't like this, just looks like scribbles,-50,160,20","I like the simplicity of it.,20,100,20","Reminded me of blood or something bad,-21,160,20","Looks like a bloody head with teeth.,-16,120,20","Jordan","Reminded me of blood or something bad,-21,160,20","Steven","i don't like this, just looks like scribbles,-50,160,20","Evan","It feels like a half assed and failed imitation of Japanese signatures on old paintings,-22,140,20","0"
"30526","","survey-text","58","1190749","0.0-58.0-0.0","AS8JG1LSWTMGY","","","","{""Q0"":""Not sure why I like this, but I do.""}","","","","","","","","","","","","","","","","","","","","","","",""
"14636","","image-slider-response","59","1205389","0.0-59.0","AS8JG1LSWTMGY","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","60","1210405","0.0-60.0","AS8JG1LSWTMGY","img_art/27.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4549","","image-button-response","61","1214958","0.0-61.0","AS8JG1LSWTMGY","img_art/27.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6793","","image-button-response","62","1221758","0.0-62.0-0.0","AS8JG1LSWTMGY","img_art/27.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"11047","","image-button-response","63","1232812","0.0-63.0-0.0","AS8JG1LSWTMGY","img_art/27.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
