"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16777","external_page_harvard.html","external-html","0","16879","0.0-0.0","AVYQAKDYISJUL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1701","","image-button-response","1","18582","0.0-1.0","AVYQAKDYISJUL","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2339","","image-button-response","2","20926","0.0-2.0-0.0","AVYQAKDYISJUL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8495","","survey-text","3","29423","0.0-3.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""AVYQAKDYISJUL""}","","","","","","","","","","","","","","","","","","","","","","",""
"16712","","image-button-response_instructions","4","46137","0.0-4.0","AVYQAKDYISJUL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"42483","","image-button-response_instructions","5","88622","0.0-5.0","AVYQAKDYISJUL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10424","","image-button-response_instructions","6","99047","0.0-6.0","AVYQAKDYISJUL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8257","","image-button-response_instructions","7","107304","0.0-7.0","AVYQAKDYISJUL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"49036","","image-button-response_instructions","8","156342","0.0-8.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7624","","image-button-response_instructions","9","163967","0.0-9.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9344","","image-button-response_instructions","10","173312","0.0-10.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5464","","image-button-response_instructions","11","178776","0.0-11.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12536","","image-button-response_instructions","12","191314","0.0-12.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22970","","image-button-response_instructions","13","214284","0.0-13.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12240","","image-button-response_instructions","14","226526","0.0-14.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5640","","image-button-response_instructions","15","232166","0.0-15.0","AVYQAKDYISJUL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20441","","image-button-response_instructions","16","252608","0.0-16.0","AVYQAKDYISJUL","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5976","","image-button-response_instructions","17","258585","0.0-17.0","AVYQAKDYISJUL","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2711","","image-button-response_instructions","18","261297","0.0-18.0","AVYQAKDYISJUL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14381","","survey-text","19","275699","0.0-19.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"40516","","survey-text","20","316216","0.0-20.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""It is a vibrant piece, but it's not my chosen color theme.""}","","","","","","","","","","","","","","","","","","","","","","",""
"12799","","image-slider-response","21","329017","0.0-21.0","AVYQAKDYISJUL","","","","","-14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","334021","0.0-22.0","AVYQAKDYISJUL","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"14677","","image-button-response","23","348700","0.0-23.0","AVYQAKDYISJUL","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4102","","image-button-response","24","352804","0.0-24.0-0.0","AVYQAKDYISJUL","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4806","","image-button-response","25","357613","0.0-25.0-0.0","AVYQAKDYISJUL","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","359115","0.0-26.0","AVYQAKDYISJUL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-14","It is a vibrant piece, but it's not my chosen color theme.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Erika","I like the sophisticated brushwork,40,100,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","0"
"48268","","survey-text","27","407386","0.0-27.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""Nice, bold colors, but I'm not a fan of red""}","","","","","","","","","","","","","","","","","","","","","","",""
"9871.700000017881","","image-slider-response","28","417259","0.0-28.0","AVYQAKDYISJUL","","","","","-41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","422263","0.0-29.0","AVYQAKDYISJUL","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3733","","image-button-response","30","425997","0.0-30.0","AVYQAKDYISJUL","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2374","","image-button-response","31","428373","0.0-31.0-0.0","AVYQAKDYISJUL","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"9480","","image-button-response","32","437854","0.0-32.0-0.0","AVYQAKDYISJUL","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","438356","0.0-33.0","AVYQAKDYISJUL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-41","Nice, bold colors, but I'm not a fan of red","Jenna,Ashley,Kara,Dora,Erika,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","I like the blocks of color arrangements,30,160,20","looks too angry,-50,80,20","I would never be able to compose a sophisticated pallete like this,48,100,20","too much color!,-28,180,20","Jenna","One of my pet peevs,-48,140,20","Dora","looks too angry,-50,80,20","Ashley","Idk, it is just annoying,-32,40,20","0"
"44428","","survey-text","34","482787","0.0-34.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""I kinda like it. It's \""icy\"" and bright.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5167","","image-slider-response","35","487956","0.0-35.0","AVYQAKDYISJUL","","","","","43","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","492958","0.0-36.0","AVYQAKDYISJUL","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3054","","image-button-response","37","496013","0.0-37.0","AVYQAKDYISJUL","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3847","","image-button-response","38","499862","0.0-38.0-0.0","AVYQAKDYISJUL","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"8919","","image-button-response","39","508783","0.0-39.0-0.0","AVYQAKDYISJUL","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","509793","0.0-40.0","AVYQAKDYISJUL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","43","I kinda like it. It's ""icy"" and bright.","Jenna,Ashley,Leslie,Dora,Mary,Rose","looks like a murder room,-35,140,20","It looks like a playground for bats,-36,40,20","It's an alright work,15,200,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","My daily routine, it's depressing,-20,240,20","Leslie","It's an alright work,15,200,20","Rose","My daily routine, it's depressing,-20,240,20","Mary","I like the overlapping of brushes,41,220,20","0"
"13348","","image-button-response_instructions","41","523144","0.0-41.0","AVYQAKDYISJUL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16272","","survey-likert","42","539419","0.0-42.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"5380","","survey-text","43","544803","0.0-43.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"51108","","survey-text","44","595913","0.0-44.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""It's very \""Autumn\"". I like it for a hallway.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5423.299999982119","","image-slider-response","45","601337","0.0-45.0","AVYQAKDYISJUL","","","","","8","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","606364","0.0-46.0","AVYQAKDYISJUL","img_art/27.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7141","","image-button-response","47","613506","0.0-47.0","AVYQAKDYISJUL","img_art/27.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"974","","image-button-response","48","614482","0.0-48.0-0.0","AVYQAKDYISJUL","img_art/27.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8591","","image-button-response","49","623075","0.0-49.0-0.0","AVYQAKDYISJUL","img_art/27.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","624077","0.0-50.0","AVYQAKDYISJUL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","1","img_art/27.jpg","8","It's very ""Autumn"". I like it for a hallway.","Alyssa,Grace,Michelle,Cassidy,Mackenzie,Kimberly","Looks as if a toddler painted it,-20,160,20","Not fond of the bad pencil drawing mixed with the drab colors.,-21,180,20","very abstract, I don't understand it, but I like the bright, cheerful colors,14,280,20","doesn't look like any effort was put into this piece.,-19,140,20","The color palette isn't my taste,-24,20,20","Nothing stands out,-23,260,20","Michelle","very abstract, I don't understand it, but I like the bright, cheerful colors,14,280,20","Mackenzie","The color palette isn't my taste,-24,20,20","Cassidy","doesn't look like any effort was put into this piece.,-19,140,20","0"
"45864","","survey-text","51","669944","0.0-51.0-0.0","AVYQAKDYISJUL","","","","{""Q0"":""I might like this if there was less inking involved.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5399.299999982119","","image-slider-response","52","675345","0.0-52.0","AVYQAKDYISJUL","","","","","-11","","","","","","","","","","","","","","","","","","","","","",""
"3886","","image-button-response","53","680347","0.0-53.0","AVYQAKDYISJUL","img_art/19.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1637","","image-button-response","54","681986","0.0-54.0","AVYQAKDYISJUL","img_art/19.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4791","","image-button-response","55","686779","0.0-55.0-0.0","AVYQAKDYISJUL","img_art/19.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"11768","","image-button-response","56","698548","0.0-56.0-0.0","AVYQAKDYISJUL","img_art/19.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
