"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8732","external_page_harvard.html","external-html","0","8853","0.0-0.0","AWAW665TQQP2F","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2081","","image-button-response","1","10938","0.0-1.0","AWAW665TQQP2F","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2126","","image-button-response","2","13073","0.0-2.0-0.0","AWAW665TQQP2F","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3836","","survey-text","3","16913","0.0-3.0-0.0","AWAW665TQQP2F","","","","{""Q0"":""AWAW665TQQP2F""}","","","","","","","","","","","","","","","","","","","","","","",""
"3195","","image-button-response_instructions","4","20113","0.0-4.0","AWAW665TQQP2F","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"114436","","image-button-response_instructions","5","134551","0.0-5.0","AWAW665TQQP2F","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5101","","image-button-response_instructions","6","139655","0.0-6.0","AWAW665TQQP2F","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3879","","image-button-response_instructions","7","143536","0.0-7.0","AWAW665TQQP2F","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3670","","image-button-response_instructions","8","147208","0.0-8.0","AWAW665TQQP2F","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3022","","image-button-response_instructions","9","150232","0.0-9.0","AWAW665TQQP2F","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3950","","image-button-response_instructions","10","154184","0.0-10.0","AWAW665TQQP2F","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3006","","image-button-response_instructions","11","157191","0.0-11.0","AWAW665TQQP2F","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
