"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"893939","external_page_harvard.html","external-html","0","894120","0.0-0.0","AXHUS8TLNPP5I","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"23682","","image-button-response","1","917805","0.0-1.0","AXHUS8TLNPP5I","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2357","","image-button-response","2","920173","0.0-2.0-0.0","AXHUS8TLNPP5I","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7141","","survey-text","3","927316","0.0-3.0-0.0","AXHUS8TLNPP5I","","","","{""Q0"":""AXHUS8TLNPP5I""}","","","","","","","","","","","","","","","","","","","","","","",""
"3287","","image-button-response_instructions","4","930605","0.0-4.0","AXHUS8TLNPP5I","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12299","","image-button-response_instructions","5","942911","0.0-5.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3626","","image-button-response_instructions","6","946540","0.0-6.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15510","","image-button-response_instructions","7","962056","0.0-7.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5130","","image-button-response_instructions","8","967188","0.0-8.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2790","","image-button-response_instructions","9","969979","0.0-9.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1607","","image-button-response_instructions","10","971588","0.0-10.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1501","","image-button-response_instructions","11","973092","0.0-11.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4198","","image-button-response_instructions","12","977291","0.0-12.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6589","","image-button-response_instructions","13","983883","0.0-13.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4670","","image-button-response_instructions","14","988555","0.0-14.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1782","","image-button-response_instructions","15","990339","0.0-15.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1549","","image-button-response_instructions","16","991890","0.0-16.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2341","","image-button-response_instructions","17","994234","0.0-17.0","AXHUS8TLNPP5I","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1720","","image-button-response_instructions","18","995955","0.0-18.0","AXHUS8TLNPP5I","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8852","","survey-text","19","1004842","0.0-19.0-0.0","AXHUS8TLNPP5I","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10031","","survey-text","20","1014874","0.0-20.0-0.0","AXHUS8TLNPP5I","","","","{""Q0"":""light and airy""}","","","","","","","","","","","","","","","","","","","","","","",""
