"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8100","external_page_harvard.html","external-html","0","8218","0.0-0.0","AZ2P6DGG5M6SH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1418","","image-button-response","1","9637","0.0-1.0","AZ2P6DGG5M6SH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1609","","image-button-response","2","11248","0.0-2.0-0.0","AZ2P6DGG5M6SH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4446","","survey-text","3","15695","0.0-3.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""AZ2P6DGG5M6SH""}","","","","","","","","","","","","","","","","","","","","","","",""
"4419","","image-button-response_instructions","4","20115","0.0-4.0","AZ2P6DGG5M6SH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8917","","image-button-response_instructions","5","29033","0.0-5.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4734","","image-button-response_instructions","6","33768","0.0-6.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4387","","image-button-response_instructions","7","38156","0.0-7.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7230","","image-button-response_instructions","8","45387","0.0-8.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7461","","image-button-response_instructions","9","52848","0.0-9.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3351","","image-button-response_instructions","10","56200","0.0-10.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3146","","image-button-response_instructions","11","59347","0.0-11.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4422","","image-button-response_instructions","12","63769","0.0-12.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8487","","image-button-response_instructions","13","72256","0.0-13.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7706","","image-button-response_instructions","14","79963","0.0-14.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4301","","image-button-response_instructions","15","84264","0.0-15.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9309","","image-button-response_instructions","16","93574","0.0-16.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3839","","image-button-response_instructions","17","97414","0.0-17.0","AZ2P6DGG5M6SH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2221","","image-button-response_instructions","18","99636","0.0-18.0","AZ2P6DGG5M6SH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5517","","survey-text","19","105165","0.0-19.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10873","","survey-text","20","116039","0.0-20.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""looks like the person was in a hurry to make.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4214.5","","image-slider-response","21","120255","0.0-21.0","AZ2P6DGG5M6SH","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"4568","","image-button-response","22","125257","0.0-22.0","AZ2P6DGG5M6SH","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3890","","image-button-response","23","129147","0.0-23.0","AZ2P6DGG5M6SH","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2517","","image-button-response","24","131665","0.0-24.0-0.0","AZ2P6DGG5M6SH","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"619","","image-button-response","25","132286","0.0-25.0-0.0","AZ2P6DGG5M6SH","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","132787","0.0-26.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","5","looks like the person was in a hurry to make.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Alex","very creative work.,36,40,20","Adam","Seems like doodles,-20,20,20","0"
"13233","","survey-text","27","146023","0.0-27.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""looks like they slipped on the canvas""}","","","","","","","","","","","","","","","","","","","","","","",""
"2742.5","","image-slider-response","28","148766","0.0-28.0","AZ2P6DGG5M6SH","","","","","4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","153768","0.0-29.0","AZ2P6DGG5M6SH","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1043","","image-button-response","30","154813","0.0-30.0","AZ2P6DGG5M6SH","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2323","","image-button-response","31","157137","0.0-31.0-0.0","AZ2P6DGG5M6SH","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2499","","image-button-response","32","159637","0.0-32.0-0.0","AZ2P6DGG5M6SH","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","160637","0.0-33.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","4","looks like they slipped on the canvas","Adam,Alex,James,Carl,John,Kyle","too much color,-18,20,20","I like the blocks of color arrangements,30,40,20","looks too angry,-50,140,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","John","love the texture of paint,48,160,20","Alex","I like the blocks of color arrangements,30,40,20","0"
"14140","","survey-text","34","174779","0.0-34.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""looks like the 90s soda design""}","","","","","","","","","","","","","","","","","","","","","","",""
"2646.2000000178814","","image-slider-response","35","177426","0.0-35.0","AZ2P6DGG5M6SH","","","","","-6","","","","","","","","","","","","","","","","","","","","","",""
"1201","","image-button-response","36","182428","0.0-36.0","AZ2P6DGG5M6SH","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"460","","image-button-response","37","182889","0.0-37.0","AZ2P6DGG5M6SH","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1311","","image-button-response","38","184201","0.0-38.0-0.0","AZ2P6DGG5M6SH","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1465","","image-button-response","39","185667","0.0-39.0-0.0","AZ2P6DGG5M6SH","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","187169","0.0-40.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","-6","looks like the 90s soda design","Ron,Alex,James,Mike,John,Sam","It looks depressing,-26,220,20","calming blue is very nice,36,40,20","My worst nightmare,-42,140,20","enjoy the different shades of blue,22,200,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","John","I like the overlapping of brushes,41,160,20","Mike","enjoy the different shades of blue,22,200,20","Alex","calming blue is very nice,36,40,20","0"
"4247","","image-button-response_instructions","41","191418","0.0-41.0","AZ2P6DGG5M6SH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8324","","survey-likert","42","199742","0.0-42.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4379","","survey-text","43","204124","0.0-43.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"9762","","survey-text","44","213886","0.0-44.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""looks like a bird on a sun""}","","","","","","","","","","","","","","","","","","","","","","",""
"3602.0999999940395","","image-slider-response","45","217489","0.0-45.0","AZ2P6DGG5M6SH","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","222501","0.0-46.0","AZ2P6DGG5M6SH","img_art/6.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1802","","image-button-response","47","224304","0.0-47.0","AZ2P6DGG5M6SH","img_art/6.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1952","","image-button-response","48","226257","0.0-48.0-0.0","AZ2P6DGG5M6SH","img_art/6.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1335","","image-button-response","49","227593","0.0-49.0-0.0","AZ2P6DGG5M6SH","img_art/6.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","229095","0.0-50.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/6.jpg","12","looks like a bird on a sun","Vincent,Jeffrey,Tyler,Cameron,Nathaniel,Steven","Calm and catching,30,360,20","positive because of bright colours and a bird,20,40,20","Is this the villain from Despicable Me?,29,320,20","Kind of neat, but then that's a weird looking bird. too weird.,0,60,20","Not my favorite, but I like the empty vibe and the imagination it invokes. A skinny girl with long legs, perhaps, looking over a cliff,9,220,20","This is interesting, I feel solitude, and loneliness from this.,13,160,20","Cameron","Kind of neat, but then that's a weird looking bird. too weird.,0,60,20","Jeffrey","positive because of bright colours and a bird,20,40,20","Vincent","Calm and catching,30,360,20","0"
"10313","","survey-text","51","239410","0.0-51.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""reminds me of a cookie""}","","","","","","","","","","","","","","","","","","","","","","",""
"4356","","image-slider-response","52","243767","0.0-52.0","AZ2P6DGG5M6SH","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","53","248768","0.0-53.0","AZ2P6DGG5M6SH","img_art/7.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2240","","image-button-response","54","251009","0.0-54.0","AZ2P6DGG5M6SH","img_art/7.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1881","","image-button-response","55","252891","0.0-55.0-0.0","AZ2P6DGG5M6SH","img_art/7.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1772","","image-button-response","56","254664","0.0-56.0-0.0","AZ2P6DGG5M6SH","img_art/7.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","255165","0.0-57.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/7.jpg","12","reminds me of a cookie","Vincent,Jeffrey,Mark,Cameron,Dalton,Lucas","One I would love to own . Calm relaxing spiritual and full of love,41,360,20","No not cause many emotions,1,40,20","Reminds me of mold. Repulsive.,-10,80,20","tracks in dirt?,-15,60,20","i dont like it. it looks like rocks,-40,300,20","Don't understand the meaning of this picture.,-30,380,20","Cameron","tracks in dirt?,-15,60,20","Dalton","i dont like it. it looks like rocks,-40,300,20","Mark","Reminds me of mold. Repulsive.,-10,80,20","0"
"24652","","survey-text","58","279820","0.0-58.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""i like the way the colors blend together.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2103.100000023842","","image-slider-response","59","281924","0.0-59.0","AZ2P6DGG5M6SH","","","","","24","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","60","286926","0.0-60.0","AZ2P6DGG5M6SH","img_art/20.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"649","","image-button-response","61","287576","0.0-61.0","AZ2P6DGG5M6SH","img_art/20.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1880","","image-button-response","62","289458","0.0-62.0-0.0","AZ2P6DGG5M6SH","img_art/20.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4353","","image-button-response","63","293812","0.0-63.0-0.0","AZ2P6DGG5M6SH","img_art/20.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","64","294313","0.0-64.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","3","img_art/20.jpg","24","i like the way the colors blend together.","Shawn,Chase,Mark,Cameron,Dalton,Colton","Mood setting if a little dreary,20,100,20","Looks like a refinery dumping shit into the water.,-40,120,20","Reminds me of persistance of time (a favorite of mine).,30,80,20","Dinosaur skill and some dark shadow above,-30,60,20","make me feel like its a little country maybe a tractor and a skull head of a bull,1,300,20","reminds me of Salvadore Dali,24,220,20","Chase","Looks like a refinery dumping shit into the water.,-40,120,20","Cameron","Dinosaur skill and some dark shadow above,-30,60,20","Colton","reminds me of Salvadore Dali,24,220,20","0"
"22282","","survey-text","65","316597","0.0-65.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""looks like an explosion in the ocean.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2528.9000000059605","","image-slider-response","66","319127","0.0-66.0","AZ2P6DGG5M6SH","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","67","324128","0.0-67.0","AZ2P6DGG5M6SH","img_art/21.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1489","","image-button-response","68","325618","0.0-68.0","AZ2P6DGG5M6SH","img_art/21.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1612","","image-button-response","69","327231","0.0-69.0-0.0","AZ2P6DGG5M6SH","img_art/21.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4404","","image-button-response","70","331636","0.0-70.0-0.0","AZ2P6DGG5M6SH","img_art/21.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","71","333138","0.0-71.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","4","img_art/21.jpg","12","looks like an explosion in the ocean.","Seth,Chase,Derek,Cameron,Shane,Colton","Makes me feel light and airy. Like I've gone back in time to 1700th century France.,43,60,20","Kind of looks like a sky with a storm or tornado.,10,120,20","I love the colors in this painting,30,360,20","Like the colors. Don't like the white dots on the right side of the painting though.,15,60,20","It reminds me of war, red blood and dark blue reminds me of an army,-20,80,20","i enjoy the clash of colors, reminds me of a storm at sea,32,220,20","Colton","i enjoy the clash of colors, reminds me of a storm at sea,32,220,20","Shane","It reminds me of war, red blood and dark blue reminds me of an army,-20,80,20","Chase","Kind of looks like a sky with a storm or tornado.,10,120,20","0"
"15972","","survey-text","72","349112","0.0-72.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""reminds me mc escher paintings.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2479.9000000059605","","image-slider-response","73","351593","0.0-73.0","AZ2P6DGG5M6SH","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","74","356595","0.0-74.0","AZ2P6DGG5M6SH","img_art/8.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"532","","image-button-response","75","357128","0.0-75.0","AZ2P6DGG5M6SH","img_art/8.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2407","","image-button-response","76","359536","0.0-76.0-0.0","AZ2P6DGG5M6SH","img_art/8.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1799","","image-button-response","77","361337","0.0-77.0-0.0","AZ2P6DGG5M6SH","img_art/8.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","78","362838","0.0-78.0","AZ2P6DGG5M6SH","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","5","img_art/8.jpg","31","reminds me mc escher paintings.","Juan,Chase,Justin,Elijah,Shane,Colton","I don't like the negative emotion this picture makes me feel. It's also too abstract.,-30,260,20","This is kind of neat. I really like how things are oriented and the shapes used.,18,120,20","Interesting to look at, there are many things happening in the painting.,32,280,20","Makes me feel nice,23,80,20","Ancient city looked after by diety,38,80,20","looks like an aerial view, very pretty,32,220,20","Chase","This is kind of neat. I really like how things are oriented and the shapes used.,18,120,20","Elijah","Makes me feel nice,23,80,20","Shane","Ancient city looked after by diety,38,80,20","0"
"4021","","survey-text","79","366863","0.0-79.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""sky""}","","","","","","","","","","","","","","","","","","","","","","",""
"17929","","survey-text","80","384793","0.0-80.0-0.0","AZ2P6DGG5M6SH","","","","{""Q0"":""the bear looks like a real teddy bear.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2693","","image-slider-response","81","387487","0.0-81.0","AZ2P6DGG5M6SH","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","82","392490","0.0-82.0","AZ2P6DGG5M6SH","img_art/16.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"472","","image-button-response","83","392962","0.0-83.0","AZ2P6DGG5M6SH","img_art/16.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"5803","","image-button-response","84","398766","0.0-84.0-0.0","AZ2P6DGG5M6SH","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1416","","image-button-response","85","400183","0.0-85.0-0.0","AZ2P6DGG5M6SH","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
