"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"30136","external_page_harvard.html","external-html","0","30254","0.0-0.0","AZ4MMVSAY9L3X","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1451","","image-button-response","1","31708","0.0-1.0","AZ4MMVSAY9L3X","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1646","","image-button-response","2","33359","0.0-2.0-0.0","AZ4MMVSAY9L3X","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4430","","survey-text","3","37791","0.0-3.0-0.0","AZ4MMVSAY9L3X","","","","{""Q0"":""""}","","","","","","","","","","","","","","","","","","","","","","",""
"1829","","survey-text","4","41239","0.0-3.1-0.1","AZ4MMVSAY9L3X","","","","{""Q0"":""AZ4MMVSAY9L3X""}","","","","","","","","","","","","","","","","","","","","","","",""
"48817","","image-button-response_instructions","5","90057","0.0-4.0","AZ4MMVSAY9L3X","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11121","","image-button-response_instructions","6","101179","0.0-5.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3546","","image-button-response_instructions","7","104726","0.0-6.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4710","","image-button-response_instructions","8","109438","0.0-7.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5968","","image-button-response_instructions","9","115407","0.0-8.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3091","","image-button-response_instructions","10","118499","0.0-9.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4128","","image-button-response_instructions","11","122629","0.0-10.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5617","","image-button-response_instructions","12","128247","0.0-11.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5466","","image-button-response_instructions","13","133714","0.0-12.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11759","","image-button-response_instructions","14","145474","0.0-13.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11504","","image-button-response_instructions","15","156979","0.0-14.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2872","","image-button-response_instructions","16","159852","0.0-15.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"67198","","image-button-response_instructions","17","227051","0.0-16.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14638","","image-button-response_instructions","18","241691","0.0-17.0","AZ4MMVSAY9L3X","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1620","","image-button-response_instructions","19","243311","0.0-18.0","AZ4MMVSAY9L3X","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5205","","survey-text","20","248538","0.0-19.0-0.0","AZ4MMVSAY9L3X","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10641","","survey-text","21","259181","0.0-20.0-0.0","AZ4MMVSAY9L3X","","","","{""Q0"":""interesting painting lots of streaks""}","","","","","","","","","","","","","","","","","","","","","","",""
"3987.9000000059605","","image-slider-response","22","263171","0.0-21.0","AZ4MMVSAY9L3X","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","23","268181","0.0-22.0","AZ4MMVSAY9L3X","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"334","","image-button-response","24","268518","0.0-23.0","AZ4MMVSAY9L3X","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3845","","image-button-response","25","272366","0.0-24.0-0.0","AZ4MMVSAY9L3X","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2150","","image-button-response","26","274519","0.0-25.0-0.0","AZ4MMVSAY9L3X","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","27","276022","0.0-26.0","AZ4MMVSAY9L3X","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","5","interesting painting lots of streaks","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Daniel","It looks like a murder scene.,-48,100,20","Jack","I like the sophisticated brushwork,40,120,20","0"
"8743","","survey-text","28","284778","0.0-27.0-0.0","AZ4MMVSAY9L3X","","","","{""Q0"":""Cool picture""}","","","","","","","","","","","","","","","","","","","","","","",""
"3352.2000000029802","","image-slider-response","29","288131","0.0-28.0","AZ4MMVSAY9L3X","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"2735","","image-button-response","30","293134","0.0-29.0","AZ4MMVSAY9L3X","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2043","","image-button-response","31","295181","0.0-30.0","AZ4MMVSAY9L3X","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4093","","image-button-response","32","299276","0.0-31.0-0.0","AZ4MMVSAY9L3X","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2720","","image-button-response","33","301998","0.0-32.0-0.0","AZ4MMVSAY9L3X","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","303501","0.0-33.0","AZ4MMVSAY9L3X","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","19","Cool picture","James,John,Kyle,Carl,Daniel,Jack","looks too angry,-50,140,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","Carl","I can feel the artist's passion in it,45,80,20","0"
"11725","","survey-text","35","315234","0.0-34.0-0.0","AZ4MMVSAY9L3X","","","","{""Q0"":""Reminds me of winter""}","","","","","","","","","","","","","","","","","","","","","","",""
"3397.2999999970198","","image-slider-response","36","318633","0.0-35.0","AZ4MMVSAY9L3X","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"4588","","image-button-response","37","323636","0.0-36.0","AZ4MMVSAY9L3X","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"679","","image-button-response","38","324319","0.0-37.0","AZ4MMVSAY9L3X","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"455","","image-button-response","39","324776","0.0-38.0-0.0","AZ4MMVSAY9L3X","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"816","","image-button-response","40","325593","0.0-39.0-0.0","AZ4MMVSAY9L3X","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2413","","image-button-response","41","330963","0.0-39.1-0.1","AZ4MMVSAY9L3X","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
