"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8980","external_page_harvard.html","external-html","0","9210","0.0-0.0","AZU9D7YLCTAYV","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1533","","image-button-response","1","10745","0.0-1.0","AZU9D7YLCTAYV","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1877","","image-button-response","2","12629","0.0-2.0-0.0","AZU9D7YLCTAYV","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9420","","survey-text","3","22051","0.0-3.0-0.0","AZU9D7YLCTAYV","","","","{""Q0"":""AZU9D7YLCTAYV""}","","","","","","","","","","","","","","","","","","","","","","",""
"6054","","image-button-response_instructions","4","28109","0.0-4.0","AZU9D7YLCTAYV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28993","","image-button-response_instructions","5","57104","0.0-5.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8005","","image-button-response_instructions","6","65110","0.0-6.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8241","","image-button-response_instructions","7","73352","0.0-7.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28807","","image-button-response_instructions","8","102162","0.0-8.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4125","","image-button-response_instructions","9","106290","0.0-9.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5923","","image-button-response_instructions","10","112216","0.0-10.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4844","","image-button-response_instructions","11","117062","0.0-11.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9036","","image-button-response_instructions","12","126100","0.0-12.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23685","","image-button-response_instructions","13","149786","0.0-13.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14118","","image-button-response_instructions","14","163906","0.0-14.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6212","","image-button-response_instructions","15","170120","0.0-15.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13538","","image-button-response_instructions","16","183660","0.0-16.0","AZU9D7YLCTAYV","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
