id,man,woman,screen,StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent18,prolific_id,fig.1a,fig.1b,wc,fig.2a,fig.2b,wc2,fig.3a,fig.3b,wc3,fig.4a,fig.4b,wc4,fig.5a,fig.5b,wc5,fig.6a,fig.6b,wc6,fig.7a,fig.7b,wc7,fig.8a,fig.8b,wc8,fig.9a,fig.9b,wc9,fig.10a,fig.10b,wc10,fig.11a,fig.11b,wc11,fig.12a,fig.12b,wc 12,fig.13a,fig.13b,wc13,fig.14a,fig.14b,wc14,fig.15a,fig.15b,wc15,fig.16a,fig.16b,wc16,fig.17a,fig.17b,wc17,fig.18a,fig.18b,wc18,fig.19a,fig.19b,wc19,fig.20a,fig.20b,wc20,fig.21a,fig.21b,wc21,fig.22a,fig.22b,wc22,fig.23a,fig.23b,wc23,fig.24a,fig.24b,wc24,fig.25a,fig.25b,wc25,fig.26a,fig.26b,wc26,fig.27a,fig.27b,wc27,fig.28a,fig.28b,wc28,fig.29a,fig.29b,wc29,fig.30a,fig.30b,wc30,loneliness,loneliness_2,loneliness_3,loneliness_4,loneliness_5,loneliness_6,loneliness_7,loneliness_8,loneliness_9,loneliness0,loneliness1,loneliness2,loneliness3,loneliness4,loneliness5,loneliness6,loneliness7,loneliness8,loneliness9,loneliness_20,big5_1,big5_2,big5_3,big5_4,big5_5,big5_6,big5_7,big5_8,big5_9,big5_10,race_cold_warm,race_cold_warm_2,race_cold_warm_3,race_cold_warm_4,race_cold_warm_6,race_cold_warm_7,race_cold_warm_8,political_ideology,political_party,political_party_4_TEXT,authenticity,authenticity_2,authenticity_3,authenticity_4,authenticity_5,authenticity_6,authenticity_7,authenticity_8,authenticity_9,authenticity0,authenticity1,authenticity2,age,gender,us_citizen,us_citizen_2_TEXT,us_born,us_years,us_region,us_region_3_TEXT,race_eth,education,income,mTurkCode,man,woman
3,Michael,Emily,good,2/7/2020 9:20,2/7/2020 9:36,0,24.210.41.233,100,949,1,2/7/2020 9:36,R_x9NXH0X53b1phsZ,,,,,40.00349426,-82.67259979,anonymous,EN,1,5b9530390f85f600015705bf,-11,Just a mess though a better mess than some others.,50,-37,"Random colors and shapes mashed together. Nothing artistic, but better than some of the other ones.",99,-50,Looks like someone mentalyl unstable drew and is ready to go a a killing spree.,79,-42,Looks like a child did it.,26,-50,Complete garbage. Looks like a kid drew it.,43,-50,Looks like a kid created it.,28,-50,Ugly. I don't like the colors or the scattering.,48,9,It is interesting to look at. Abstract but ordered.,51,-45,Looks like a young child drew it.,33,-50,Ugly and low skill. I wouldn't want it.,39,22,It's kind of cool and I see it looks clean.,43,15,Not quite my style but there more of a pattern and it is interesting to look at.,80,9,I don't car for it but it does seem organized and like it took considereably more skill that others.,100,-16,Looks like there is some skill but also at the same time parts look unskilled.,78,-19,Looks incomplete.,17,-45,Looks like a kid did itt and ti looks disturbing.,49,19,There is better structure and direction in this one.,52,21,Not my style but I can see some serious skill went int it.,58,-45,"Loks like an amature did it, Not pleasing.",42,8,Brings about an emotion response of dspair. Loose lines but yet has a cohesion.,79,-30,What's the point?,17,10,There is some flow and organization.,36,-40,I don't get it.,15,15,It's not super high uality  but there is some skill and talent in it I see.,75,-14,Low skill not impressed.,24,-41,Not much skil went into this one either.,40,-31,Anyone could do that.,21,-50,Incoherent ugly mess.,21,-45,Looks literally like garbage.,29,-16,It looks like a child did it. There is nothing talented or special about it.,76,2,1,3,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,1,1,7,4,5,5,2,2,7,2,2,1,100,100,100,100,1,62,84,4,3,,6,8,3,8,8,8,8,6,5,3,5,3,29,1,1,,1,,2,,3,5,2,9637788,Michael,Emily
4,Jacob,Jessica,good,2/7/2020 9:26,2/7/2020 9:37,0,71.232.199.28,100,675,1,2/7/2020 9:37,R_31yeGkPecL5JziX,,,,,42.63510132,-71.30139923,anonymous,EN,1,5c7b72434660bf0013c731f7,10,Looks like the same thing as the last piece shown to me,55,-13,I don't get the meaning of this piece either.,45,-13,Don't get the scribbles.,24,-17,Looks like they just smothered on some paint and called it a day.,65,-11,Don't really know the point of this one.,40,4,Is this a leaf?,15,0,"Looks like a natural texture, reminds me of rocks.",50,9,Very cool! I like this piece,28,3,So I don't really like this style but it looks somewhat okay,60,11,I feel like this has a cool concept behind it.,46,36,"This looks cool, and definitely comes to life in a way",54,11,I like this concept.,20,16,The paint splatter idea is kind of overused but I like how it brings the piece together,87,6,I kind of like it!,18,5,"I think it's trying to execute a cool idea, but unfortunately it doesn't appeal",79,8,Cool but the bear creeps me out?,32,27,The way they painted the trees is so cool.,42,22,"I think this looks pretty cool, I can see what's kind of going on here.",71,13,Vibrant and colorful,20,5,It looks painted really nicely.,31,25,I like how the colors blend together like a beautiful sunset.,61,8,I like the mixing of the primary colors.,40,24,This is very cool!,18,50,"Vibrant, beautiful depiction.",29,8,I really like how the lines form this piece.,44,-41,"It doesn't look so vibrant, I'm not sure what feelings they were trying to capture",82,1,"Don't get the point of this piece that much, but it doesn't bug me",66,7,I can't tell what's going on but it looks a little bit more lively at least,75,0,"It looks cool but I don't really get what's going on, it looks too busy",71,1,"Looks cool , but no meaning",27,2,2,2,3,2,2,3,3,3,3,3,3,4,4,3,4,2,3,3,3,4,3,6,5,5,5,6,4,5,2,69,42,81,58,100,,60,1,2,,6,3,3,3,5,4,2,4,5,8,5,8,19,1,2,Immigrant,2,16,2,,4,3,2,8423736,Jacob,Jessica
7,Matthew,Ashley,good,2/7/2020 9:26,2/7/2020 9:40,0,76.110.122.125,100,800,1,2/7/2020 9:40,R_24Gi4Cm9hqXKFap,,,,,26.62390137,-80.09480286,anonymous,EN,1,5d25fb29c03bad001a86e557,13,"More passable, colorful, abstract.",34,25,I think I can make out a face in there.,39,27,Reminds of John Lenonn's art a bit.,35,25,It looks like a hand.,21,23,I like the simple shapes and colors.,36,1,"A lot of people will lvoe this, I do not.",41,-25,"landscape of amrs, yawn.",24,50,Escher? Dali? Could be their lovechild?,39,11,"Similar to the tohers, but not as clear.",40,26,AWESOME VIOLIN!`,16,50,"Dark but bright, city but ocean, musical scales.",48,32,"It's boxy, cubist immpressionism? Very ncie.",44,32,AWESOME! Pollack but with more direction.,41,35,"I like the color tone, it's kind of disturbing.",47,18,"I think of birds, nature, levels of space.",42,23,A lot fo these could abstract or childrens work.,48,23,"taste the rainbow, feel the flavor.",35,28,"Resembles a ship at sea, storm of activity.",43,27,someone at the beach maybe?,27,32,"Painting within a painting, abstract.",37,43,"Disturbing, land meets ocean, lvoely really.",44,20,Another servicable piece of abstract art?,41,50,"A line dance, it's really strinkingly beautiful.",48,30,"NOt quite Bob Ross, but still good.",35,50,"haunting, a lovely impression.",30,18,Telented watercolor artist or second grader.,44,29,"Lots of activity, layers, imagination at work here.",51,28,"Normally don't react well to abstract art, but it looks almost like something's there.",86,50,It that an actual PAINTBUSH! Love it.,37,23,"Decent abstract art, ncie colors.",33,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,6,2,6,2,6,2,6,2,6,2,100,100,100,100,100,100,100,1,3,,6,1,1,1,1,1,1,6,6,1,6,1,39,2,1,,1,,1,,3,3,2,6033295,Matthew,Ashley
8,Christopher,Sarah,good,2/7/2020 9:22,2/7/2020 9:40,0,73.167.117.70,100,1083,1,2/7/2020 9:40,R_5yYrirXD8WmdZ17,,,,,44.4828949,-73.22530365,anonymous,EN,1,5c5c5f6c46aa74000133e212,-2,it's boring despite all the colors,34,-28,nope. just looks like a mess,28,-8,the red is impactful but the work overall doesn't say anything to me,68,-27,"too many red/yellow shades, its impact without a reason",55,-35,looks very childish,19,10,it's interesting but I don't love it,36,16,"i kind of like this, it looks like a photo of a planet's surface",64,-5,it's interesting but i don't enjoy the style,44,-5,I really like the color balance but the image is odd,52,24,"i like this, the mix of brush textures is cool",46,23,i like the gray tones with black lines and bits of color,56,-18,i think it's a good piece but it doesn't appeal to me,53,36,this is an appealing mix of textures to me and the color scheme is harmonious,77,-15,this looks pretty childish,26,26,this is really pretty! i like the pops of blue in all the black,63,-25,i don't like the collage aspect,31,10,"i like the delicate wispy part, but overall i don't love it",59,15,this is kind of cool. I like the color scheme and the figure in the upper left is interesting,93,-22,too much of a mix of lines and shading,38,6,"i ind of like this, it's saying something but not my style",58,31,"I love the section of blues, the colors overall are really lovely",65,-15,"boring, too many red and yellow tones for my taste",50,-7,"it's not uninteresting, but i'm not responding to it",52,9,"it's fine, the colors are pleasing, but not my taste",52,20,"green is really cool, and the pieces in black fit together and are interesting",78,-36,too hard to figure out if it's meant to be actual objects or impressions,72,6,i don't think i should like this one because it's a little chaotic and simple but I do,86,5,something about all the off-greys is pretty interesting,55,9,it's interesting but not my style,33,-33,"looks simple, I can't see a lot of care going into this",55,4,3,4,2,2,3,3,4,3,3,4,4,3,4,3,2,3,1,3,2,1,2,6,5,7,6,7,1,6,1,48,53,56,50,48,13,70,1,4,progressive,4,1,8,1,3,2,1,3,4,8,5,1,33,1,1,,1,,2,,3,6,3,4529945,Christopher,Sarah
11,Joshua,Hannah,good,2/7/2020 9:22,2/7/2020 9:43,0,71.91.124.35,100,1253,1,2/7/2020 9:43,R_2B4Xck1uJSpEfau,,,,,32.67170715,-97.40830231,anonymous,EN,1,5d86e8aa1af55f00170ad486,7,Reminds me of fall.,19,-19,Looks like child's art.,23,-29,Looks like a Basquiat but just not my cup of tea.,49,-14,looks very rudimentary and too simple.,38,-9,"Very basic, but at least has some color to it.",46,7,Looks like a bird. It's fine.,30,11,Looks almost like a photograph of nature.,41,5,I don't understand it. Makes no sense to me.,45,-14,Someone lying in bed?  Don't care for it.,41,11,This one is interesting. I like it.,35,11,Is interesting. Wouldn't bother me to have this hanging where I'd see it every day.,84,-10,I don't get this one. Doesn't evoke an emotional response.,59,27,Like this a lot and would hang in my house.,43,-6,This doesn't speak to me on an emotional level,46,11,Like this for the colors and arrangement.,41,6,This is weird and a little creepy.,34,-10,Looks like an abandoned building that is being overtaken by nature.,67,7,Looks like ghost figures on a boat. It's okay.,46,-9,Just don't like this one.,25,12,Reminds me of the Southwest; i.e. New Mexico or Arizona. It's interesting.,74,-20,Boring colors and look. Too much 1980s.,39,20,This one would work in the right frame. It's nice.,50,11,This one is interesting. Looks like people with maybe musical instruments?,74,7,It's okay but don't love it.,28,-5,Looks like a voodoo figure in a New Orleans cemetery at night.,62,-15,This is boring.,15,-9,Reminds me of something I'd see in a gold frame from the Eighties.,66,-20,The colors are drab and a little depressing.,44,-20,I don't like the red X through it.,34,5,It's just all right.,20,3,2,3,3,2,2,2,2,3,3,3,3,3,3,2,2,3,3,3,3,2,5,7,5,6,5,6,2,5,5,92,92,92,92,68,73,93,6,1,,5,1,3,1,8,3,1,5,6,1,5,1,53,1,1,,1,,1,,3,5,5,9134510,Joshua,Hannah
12,Nicholas,Samantha,good,2/7/2020 9:22,2/7/2020 9:44,0,107.77.241.9,100,1331,1,2/7/2020 9:44,R_1N9sNnviKE4ACnD,,,,,37.75100708,-97.8219986,anonymous,EN,1,5d9949151714540013a407c6,38,Love the colors but it makes me feel like someone is looking at me through it,77,22,Cute and happy,14,-43,Too angry and scribbly,22,-50,I domt like the yellow black blended smear,42,50,I cant explain why i like this so much but it really calls out to me,68,0,It isnt bad but sort of too bland,33,19,Makes me want to feel it,24,-25,The face bothers me,19,-18,Some nice colors but i do not like it,37,13,I like it but do not love it. It is sort of depressing,54,50,Love the colors and flow,24,24,It is interesting but seems like some cheap painting from like walmart,70,50,Nice colors. beautiful blue,27,50,I love the feeling of the tree and people. Makes me happy,57,-37,Not interesting enough. Boring,30,-50,Creepy teddybear,16,31,"Nice colors, shapes, flow",25,50,Id love to see this piece closer. So much extra details hidden it it.,69,21,Intersting but not for me,25,2,Use of white on foreground is too big and steals eyes away from rest of painting,80,50,Love the colors and the relationship between the light and storm,64,25,Pretty colors but something seems sinister about it ,52,50,The more i look at it the more i like it  the dots of color and very interesting,80,37,Happy and relaxing bubbling brook,33,-29,It is interesting but too creapy for me,39,50,I like the colors and trees. Seems cheap vintage retail store art but i love it anyways,87,25,I like all it has going but i wouldnt put it in my house unless my child did it,79,33,Interesting and weird. Perfect conversational piece,51,50,I love this things almost hidden in it like paint brush and other details,73,-50,Too much like childrens finger paint. I dont like the smear of blended colors,77,4,2,4,2,1,3,2,1,2,3,3,1,4,4,1,1,4,1,1,1,1,1,7,4,5,7,5,1,4,1,86,66,79,57,2,86,52,7,1,,6,3,1,1,6,1,1,6,6,8,6,8,33,1,1,,1,,1,,3,5,1,8399389,Nicholas,Samantha
14,Andrew,Taylor,good,2/7/2020 9:20,2/7/2020 9:45,0,23.116.53.50,100,1531,1,2/7/2020 9:45,R_0jrcC4pIvHa5O3n,,,,,39.98809814,-83.04789734,anonymous,EN,1,5dee94c93be15c0572a3c671,11,Makes me think of a bad thunderstorm,36,10,Doesn't give me a reaction,26,-20,It doesn't make me think of art,31,30,Reminds me of a first place trophy,34,-1,Doesn't make me think anything,30,21,Reminds me of my friend's bird,30,15,It makes me think of new archaeology discoveries,48,35,Looks like it would be an interesting place to live,51,-10,The peacock theme gives me negative connotations of my ex-sister-in-law,71,31,Makes me think of the exhilaration of a roller coaster,54,-20,"It's a really cool painting, but it reminds me of bad traffic",61,-15,It's kind of ominous,20,32,It makes me think of sitting inside on a rainy day while drinking a warm coffee,79,11,Makes me think of my plants growing,35,21,The blues are soothing,22,-25,It just makes me feel uncomfortable,35,41,A very inspiring piece,22,-10,Another ominous painting,24,45,It reminds me of sitting at a cafe on the side of a river.,58,47,I just love this painting,25,36,I love the contrasting tones between the two sides,50,-4,Doesn't make me feel anything,29,40,The color contrast makes me happy,33,50,Makes me think of a couple of hikes that I've taken,51,11,"It makes me feel a little uneasy, but I like the painting",57,20,Makes me want to walk down a cool street,40,-15,Reminds me of a town on fire,28,0,Doesn't give me an emotional response,37,-20,It seems like there's anger in the painting.,44,20,It's a really interesting piece,31,2,2,3,2,2,3,4,4,4,2,4,3,2,3,3,2,2,2,2,3,1,5,6,7,6,7,6,5,6,3,61,61,61,61,91,7,36,1,2,,6,8,4,5,4,4,8,5,5,2,5,8,23,1,1,,1,,2,,3,5,2,2164370,Andrew,Taylor
15,Brandon,Alexis,good,2/7/2020 9:25,2/7/2020 9:47,0,174.216.18.241,100,1285,1,2/7/2020 9:47,R_3p6eOZ8xByk1TgO,,,,,47.44410706,-122.3249054,anonymous,EN,1,5e3b3d66be0c8f3525705012,3,Taco Bell wallpaper. Doesn't really make me feel anything,57,-50,Do not like this type of abstract work,38,-40,Just scribbles. Not a fan.,26,-50,"Really don't like this. Kindergarten art, sorry.",48,-50,Kindergarten art. I really don't like this style.,49,20,The feeling of isolation with so little objects. Great,54,-29,Looks like bad wallpaper,24,23,Reminds me of old 80s fantasy book covers. Nostalgic,52,10,"I like the sense of forboding, the green creates a claustrophobic feeling",73,-40,Too abstract and it doesn't really remind me of anything,56,-29,"Don't like cityscapes, which this picture reminds me of",55,11,I like the cubic feel.,22,32,"Simple, but pleasing. The blue gradient is a favorite of mine",61,-20,Don't like the colors on this. Too simple,41,10,"Not a fan of abstract, but the black is very striking",53,-50,Don't like this technique. Too serial killer.,45,36,Love the color and nature motif,31,23,"Crusade-feel, but a little too abstract for my taste",52,-22,Not a fan of the blobbiness,27,15,"I like the proportion of the car to the desert city, but too abstract for me",76,40,I love this. Reminds me of a coast. The colors flow beautifully,63,-39,Don't like this type of abstract work,37,28,"Pretty cool. I love the white, reminds me of people lined up.",61,20,Simple. Not too abstract. Love the different flower colors.,59,21,Reminds me of cave drawings,27,-33,Much too simple and without color for my taste,46,-42,"Too abstract, doesn't remind me of anything",43,21,Interesting. I like the "old woman" on the left. Lots of different entities to look at,86,-40,"The black color is great, but I'm really not a fan of this hectic style",71,-50,"Too abstract, looks like something I could paint",48,4,4,4,3,3,4,4,4,2,4,4,4,2,4,3,4,4,1,4,3,2,1,5,2,5,6,6,1,5,3,79,50,43,41,50,50,75,3,3,,5,1,8,8,8,8,1,5,6,1,5,1,27,1,1,,1,,3,Northwest,3,5,2,8364527,Brandon,Alexis
20,Austin,Elizabeth,good,2/7/2020 9:27,2/7/2020 9:51,0,173.91.56.234,100,1432,1,2/7/2020 9:51,R_3lrxF7I3VeVgpRq,,,,,41.49510193,-81.46569824,anonymous,EN,1,5dbe1e67ab6817325191fd18,50,Absolutely love this painting,29,12,Good color pallette,19,-21,It doesn't invoke any excitement,32,29,Like the color vibrancy,23,39,Perfect for art exhibition,26,41,Love the simplicity of it,25,-8,The picture is just random,26,31,Very unique and different,25,21,Love the uniqueness,19,39,Has an air of mystery around it,31,50,Very unique piece of art,24,31,Explosion of texture,20,50,Love the splash of colors,25,39,Love the abstractness of this painting,38,50,Perfect Abstract painting,25,12,Picture seems unique,20,50,Has a unique vibe to it,23,50,Nice abstract art,17,39,Like the painting strokes,25,50,This painting would make a great display art,44,50,Touches the heart,17,29,Great color palette,19,43,Fantastic blend of color and forms,34,50,Evokes pleasant feelings,24,50,Love the color hues and the texture it creates,46,26,Like the soft blend of colors,29,20,Like the abstractness of this picture,37,23,Not really exciting,19,22,Has a haunting feel to it,25,50,Love the bold brush strokes and the illusion it creates,55,3,4,4,4,4,4,4,4,3,4,4,4,3,4,3,4,4,4,4,4,6,2,5,5,6,5,7,3,5,2,100,100,100,100,50,50,50,4,3,,6,3,8,8,8,2,8,6,5,3,6,8,30,1,2,Indian,2,4,3,Midwest,4,5,4,8396796,Austin,Elizabeth
21,Tyler,Madison,good,2/7/2020 9:24,2/7/2020 9:52,0,71.11.152.168,100,1642,1,2/7/2020 9:52,R_3kdJLXtB5J8iobO,,,,,38.43209839,-90.38960266,anonymous,EN,1,5d125abefc92e30018a7b9b8,28,"This looks like the same artist as the first picture, but cropped? Looks incomplete.",84,-6,Grim and overwhelming,21,-9,This doesn't grab me. Perhaps the red is meant to be provocative; I find it gimmicky.,85,-49,"This is what makes suburban dads say, ""my 4-year-old can do that.""",66,31,Bright and luminous,19,29,Is this the villain from Despicable Me?,39,15,"Is this a painting, really? Very compelling if so, the texture work is incredible.",82,11,"The composition is striking, and some of the images are quite dramatic",70,-31,No cohesive form whatsoever. Hard pass.,39,11,In proper lighting I might enjoy this,37,30,Rainy day at an urban sea port. Portugal?,41,32,Different enough to be memorable. The gradient of hues is appealing and appeasing.,82,50,"Pollock? Love the juxtaposition of colors. Soothing and stirring, a beautiful inexplicable paradox.",99,-4,No strong feelings either direction.,36,15,I am starting to feel description fatigue. This would be pleasant enough in a doctor's office waiting room.,107,-50,"Pop art, Tate Modern horse dung.",32,1,"No strong reaction. Beautiful design, but hue appears taciturn. Bad photograph?",79,-19,"Pleasant design and composition, unpleasant theme and focus.",60,-11,Seems unfinished and sloppy,27,0,"This is not abstract art, it is representative. ",48,-19,"War! But then, what? And then, what of it? Intention seems incomplete, or not fully committed to.",97,18,"Like the colors, and the even blur. The more I look, the more a story forms. A very narrative image.",100,27,"Looks celebratory and joyful! However, the photograph does not do the original work's colors justice.",101,-19,Exceedingly garish,18,-40,"Meh. Hardly abstract, though.",29,-10,Colors look glum; photograph is not properly contrasted and does not reflect the appropriate amount of natural light.,117,1,The photographing is horribly distracting. I would feel more favorable toward the original colors/ brightness,109,11,It's okay. There is harmony and balance.,40,-30,"Well if the artist themself is crossing it out, why should I pay any mind?",74,21,"Interesting brushstroke work, but not particularly memorable.",61,2,3,3,4,4,4,4,3,3,3,4,3,4,4,4,3,4,3,4,4,3,2,5,2,5,6,7,4,5,2,50,50,50,50,67,33,1,2,4,Ineligible to vote,6,1,2,3,3,3,1,5,6,8,5,1,34,1,2,France,2,9,2,,3,5,2,5673479,Tyler,Madison
